system:index,B1,B10,B11,B2,B3,B4,B5,B6,B7,date,pixel_qa,radsat_qa,sr_aerosol,.geo
2_0,155,2884,2863,216,538,324,4506,1883,704,2019-09-24T15:27:26,322,0,194,"{""type"":""Point"",""coordinates"":[-72.17176138,42.53735899]}"
2_1,129,2880,2858,197,491,310,4346,1819,680,2019-09-24T15:27:26,352,0,224,"{""type"":""Point"",""coordinates"":[-72.17220166,42.53664271]}"
2_2,1185,2863,2839,1219,1313,1232,4209,2345,1433,2019-09-24T15:27:26,480,0,8,"{""type"":""Point"",""coordinates"":[-72.17294426,42.53548522]}"
2_3,1318,2866,2840,1302,1405,1301,3919,2232,1405,2019-09-24T15:27:26,480,0,8,"{""type"":""Point"",""coordinates"":[-72.17350955,42.53454769]}"
2_4,337,2876,2850,354,968,680,4407,2198,1371,2019-09-24T15:27:26,416,0,194,"{""type"":""Point"",""coordinates"":[-72.17384774,42.53400681]}"
2_5,155,2884,2863,216,538,324,4506,1883,704,2019-09-24T15:27:26,322,0,194,"{""type"":""Point"",""coordinates"":[-72.17199578,42.53726421]}"
2_6,141,2881,2859,214,516,333,4316,1843,720,2019-09-24T15:27:26,352,0,224,"{""type"":""Point"",""coordinates"":[-72.17274081,42.53651678]}"
2_7,233,2874,2850,335,719,523,4380,2019,1007,2019-09-24T15:27:26,352,0,224,"{""type"":""Point"",""coordinates"":[-72.17355408,42.53564725]}"
2_8,1406,2877,2851,1447,1665,1598,4480,2887,1850,2019-09-24T15:27:26,480,0,8,"{""type"":""Point"",""coordinates"":[-72.17428897,42.53489182]}"
2_9,393,2882,2859,476,871,683,4624,2210,1114,2019-09-24T15:27:26,352,0,224,"{""type"":""Point"",""coordinates"":[-72.17484656,42.53435635]}"
2_10,154,2886,2864,209,532,317,4487,1867,693,2019-09-24T15:27:26,322,0,224,"{""type"":""Point"",""coordinates"":[-72.17215007,42.53732217]}"
2_11,151,2883,2860,221,520,344,4320,1864,721,2019-09-24T15:27:26,352,0,130,"{""type"":""Point"",""coordinates"":[-72.17311207,42.53663424]}"
2_12,-54,2881,2859,35,420,239,4299,1717,645,2019-09-24T15:27:26,352,0,224,"{""type"":""Point"",""coordinates"":[-72.17376999,42.53619407]}"
2_13,149,2880,2856,259,637,487,4224,1920,904,2019-09-24T15:27:26,352,0,224,"{""type"":""Point"",""coordinates"":[-72.17443905,42.53573871]}"
2_14,55,2885,2864,132,479,265,4646,1854,681,2019-09-24T15:27:26,322,0,224,"{""type"":""Point"",""coordinates"":[-72.17581962,42.53481354]}"
2_15,137,2887,2865,202,513,311,4225,1751,658,2019-09-24T15:27:26,322,0,224,"{""type"":""Point"",""coordinates"":[-72.17252866,42.53727737]}"
2_16,148,2886,2864,207,505,315,4311,1784,670,2019-09-24T15:27:26,322,0,224,"{""type"":""Point"",""coordinates"":[-72.17333147,42.53687172]}"
2_17,126,2886,2865,189,508,317,4312,1806,675,2019-09-24T15:27:26,322,0,224,"{""type"":""Point"",""coordinates"":[-72.1738539,42.53665254]}"
2_18,152,2884,2863,214,504,423,3887,1826,730,2019-09-24T15:27:26,352,0,224,"{""type"":""Point"",""coordinates"":[-72.17524182,42.53602925]}"
2_19,145,2885,2866,215,534,327,4628,1942,706,2019-09-24T15:27:26,322,0,224,"{""type"":""Point"",""coordinates"":[-72.17602022,42.53570034]}"
2_20,144,2885,2864,212,531,335,4318,1932,705,2019-09-24T15:27:26,322,0,224,"{""type"":""Point"",""coordinates"":[-72.1718475,42.53772139]}"
2_21,394,2888,2868,399,560,400,3780,1810,725,2019-09-24T15:27:26,328,0,80,"{""type"":""Point"",""coordinates"":[-72.17353167,42.53785563]}"
2_22,382,2887,2866,381,557,360,4293,1769,649,2019-09-24T15:27:26,328,0,80,"{""type"":""Point"",""coordinates"":[-72.17424659,42.53791698]}"
2_23,349,2884,2865,335,421,263,2599,1011,342,2019-09-24T15:27:26,328,0,80,"{""type"":""Point"",""coordinates"":[-72.1753998,42.53799538]}"
2_24,200,2884,2865,241,482,272,3633,1258,464,2019-09-24T15:27:26,322,0,160,"{""type"":""Point"",""coordinates"":[-72.17725783,42.53817231]}"
2_25,211,2886,2865,256,512,347,3630,1676,677,2019-09-24T15:27:26,322,0,160,"{""type"":""Point"",""coordinates"":[-72.17245577,42.53793523]}"
2_26,385,2888,2867,382,551,376,3802,1733,701,2019-09-24T15:27:26,328,0,80,"{""type"":""Point"",""coordinates"":[-72.17339952,42.53816458]}"
2_27,386,2886,2865,377,566,375,4416,1760,623,2019-09-24T15:27:26,328,0,80,"{""type"":""Point"",""coordinates"":[-72.17451928,42.53842324]}"
2_28,334,2884,2865,320,344,218,1737,508,149,2019-09-24T15:27:26,328,0,80,"{""type"":""Point"",""coordinates"":[-72.17598849,42.53879665]}"
2_29,394,2884,2864,384,520,322,3514,1216,460,2019-09-24T15:27:26,328,0,80,"{""type"":""Point"",""coordinates"":[-72.17676584,42.53897192]}"
2_30,359,2887,2866,373,508,411,2647,1659,817,2019-09-24T15:27:26,322,0,96,"{""type"":""Point"",""coordinates"":[-72.17256484,42.53813773]}"
2_31,392,2887,2866,382,566,378,3766,1605,623,2019-09-24T15:27:26,328,0,80,"{""type"":""Point"",""coordinates"":[-72.17322802,42.53841011]}"
2_32,382,2887,2866,377,498,479,2671,1336,545,2019-09-24T15:27:26,328,0,80,"{""type"":""Point"",""coordinates"":[-72.1742803,42.53885443]}"
2_33,344,2886,2866,318,364,230,1388,493,176,2019-09-24T15:27:26,328,0,80,"{""type"":""Point"",""coordinates"":[-72.17495193,42.539127]}"
2_34,373,2882,2862,354,449,287,2702,1029,364,2019-09-24T15:27:26,328,0,80,"{""type"":""Point"",""coordinates"":[-72.17636887,42.53972391]}"
2_35,132,2885,2864,197,510,327,4037,1767,677,2019-09-24T15:27:26,322,0,224,"{""type"":""Point"",""coordinates"":[-72.17198852,42.53799862]}"
2_36,413,2886,2865,415,566,416,3223,1678,711,2019-09-24T15:27:26,328,0,80,"{""type"":""Point"",""coordinates"":[-72.17284229,42.53853796]}"
2_37,400,2886,2866,404,503,492,2124,1153,546,2019-09-24T15:27:26,328,0,80,"{""type"":""Point"",""coordinates"":[-72.17410794,42.539306]}"
2_38,351,2883,2865,342,358,312,1120,506,201,2019-09-24T15:27:26,328,0,80,"{""type"":""Point"",""coordinates"":[-72.17483018,42.53976714]}"
2_39,339,2878,2859,301,312,188,1188,362,117,2019-09-24T15:27:26,328,0,80,"{""type"":""Point"",""coordinates"":[-72.17593787,42.54048131]}"
