"","B1","B2","B3","B4","B5","B6","B7"
"MODIS",0.00323530636737331,0.00678105857987709,0.0088314637902746,0.00586478751232097,0.00756825789079662,0.00707788451127944,0.00983887529555002
"Landsat",0.0111800881510205,0.00299633753430983,0.00198250115837724,0.00754532852317811,0.00880295469555419,0.00566486029936726,0.00951431632373952
"Sentinel",0.0261958545172519,0.0187879679765142,0.0228858325557742,0.0317601743557183,0.0257836501574487,0.0439972875259113,0.0447556047175264
