system:index,AOT,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,MSK_CLDPRB,MSK_SNWPRB,QA10,QA20,QA60,SCL,TCI_B,TCI_G,TCI_R,WVP,date,.geo
2_0,69,176,1724,678,225,453,206,806,3085,3789,3941,3962,3814,0,0,0,0,0,4,24,47,22,1355,2019-08-26T15:51:19,"{""type"":""Point"",""coordinates"":[-72.17176138,42.53735899]}"
2_1,69,173,1700,656,202,371,192,697,2804,3596,3689,3936,3930,0,0,0,0,0,4,21,38,20,1284,2019-08-26T15:51:19,"{""type"":""Point"",""coordinates"":[-72.17220166,42.53664271]}"
2_2,68,178,1718,685,228,406,194,732,2954,3717,3889,4008,4157,0,0,0,0,0,4,24,42,20,1282,2019-08-26T15:51:19,"{""type"":""Point"",""coordinates"":[-72.17294426,42.53548522]}"
2_3,68,175,1817,728,206,413,185,776,3001,3767,3951,4092,4274,0,0,0,0,0,4,20,42,18,1290,2019-08-26T15:51:19,"{""type"":""Point"",""coordinates"":[-72.17350955,42.53454769]}"
2_4,68,170,1760,704,199,406,192,736,2994,3818,4081,4170,4120,0,0,0,0,0,4,20,42,20,1304,2019-08-26T15:51:19,"{""type"":""Point"",""coordinates"":[-72.17384774,42.53400681]}"
2_5,69,191,1693,679,222,430,209,750,2997,3739,3863,3932,3491,0,0,0,0,0,4,23,45,22,1364,2019-08-26T15:51:19,"{""type"":""Point"",""coordinates"":[-72.17199578,42.53726421]}"
2_6,69,176,1675,655,209,409,192,749,3005,3800,3967,4035,3953,0,0,0,0,0,4,22,42,20,1351,2019-08-26T15:51:19,"{""type"":""Point"",""coordinates"":[-72.17274081,42.53651678]}"
2_7,68,171,1596,627,208,397,191,691,2816,3611,3764,3869,3933,0,0,0,0,0,4,22,41,20,1257,2019-08-26T15:51:19,"{""type"":""Point"",""coordinates"":[-72.17355408,42.53564725]}"
2_8,68,175,1700,689,218,397,194,685,2833,3688,3890,3996,4064,0,0,0,0,0,4,23,41,21,1257,2019-08-26T15:51:19,"{""type"":""Point"",""coordinates"":[-72.17428897,42.53489182]}"
2_9,68,170,1690,673,217,410,192,695,2954,3809,4061,4120,4150,0,0,0,0,0,4,23,42,20,1293,2019-08-26T15:51:19,"{""type"":""Point"",""coordinates"":[-72.17484656,42.53435635]}"
