system:index,AOT,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,MSK_CLDPRB,MSK_SNWPRB,QA10,QA20,QA60,SCL,TCI_B,TCI_G,TCI_R,WVP,date,.geo
2_0,108,700,2253,975,712,881,560,1160,3865,4897,4903,5187,4954,0,0,0,0,0,4,74,90,57,2266,2019-07-07T15:51:24,"{""type"":""Point"",""coordinates"":[-72.17176138,42.53735899]}"
2_1,108,386,2049,790,408,565,306,839,3741,4903,4979,5168,5156,0,0,0,0,0,4,43,57,31,2248,2019-07-07T15:51:24,"{""type"":""Point"",""coordinates"":[-72.17220166,42.53664271]}"
2_2,108,376,2081,806,395,573,296,881,3758,4934,4899,5154,5252,0,0,0,0,0,4,41,59,30,2235,2019-07-07T15:51:24,"{""type"":""Point"",""coordinates"":[-72.17294426,42.53548522]}"
2_3,108,372,2248,925,382,598,293,939,3917,5052,5122,5420,5453,0,0,0,0,0,4,39,62,30,2324,2019-07-07T15:51:24,"{""type"":""Point"",""coordinates"":[-72.17350955,42.53454769]}"
2_4,108,382,2164,885,381,607,307,913,3872,5065,5209,5402,5315,0,0,0,0,0,4,40,62,32,2317,2019-07-07T15:51:24,"{""type"":""Point"",""coordinates"":[-72.17384774,42.53400681]}"
2_5,108,519,2166,892,489,681,367,992,3888,4941,4953,5256,4847,0,0,0,0,0,4,50,70,38,2339,2019-07-07T15:51:24,"{""type"":""Point"",""coordinates"":[-72.17199578,42.53726421]}"
2_6,108,394,2062,803,406,597,302,884,3820,4955,5024,5268,5119,0,0,0,0,0,4,41,61,31,2281,2019-07-07T15:51:24,"{""type"":""Point"",""coordinates"":[-72.17274081,42.53651678]}"
2_7,108,378,2019,781,400,594,300,912,3860,4944,5042,5207,5104,0,0,0,0,0,4,41,61,31,2265,2019-07-07T15:51:24,"{""type"":""Point"",""coordinates"":[-72.17355408,42.53564725]}"
2_8,108,404,2065,845,426,570,313,854,3632,4680,4664,5037,5191,0,0,0,0,0,4,44,59,32,2243,2019-07-07T15:51:24,"{""type"":""Point"",""coordinates"":[-72.17428897,42.53489182]}"
2_9,108,436,2064,804,381,590,300,870,3751,4948,5035,5215,5229,0,0,0,0,0,4,40,60,31,2256,2019-07-07T15:51:24,"{""type"":""Point"",""coordinates"":[-72.17484656,42.53435635]}"
2_10,108,519,2166,892,489,681,367,992,3888,4941,4953,5256,4847,0,0,0,0,0,4,50,70,38,2339,2019-07-07T15:51:24,"{""type"":""Point"",""coordinates"":[-72.17215007,42.53732217]}"
2_11,108,394,2016,789,412,575,321,850,3658,4743,4857,5034,5119,0,0,0,0,0,4,43,59,33,2202,2019-07-07T15:51:24,"{""type"":""Point"",""coordinates"":[-72.17311207,42.53663424]}"
2_12,108,395,2053,828,402,581,306,879,3667,4688,4672,4997,5156,0,0,0,0,0,4,41,59,32,2207,2019-07-07T15:51:24,"{""type"":""Point"",""coordinates"":[-72.17376999,42.53619407]}"
2_13,108,385,1975,759,393,562,295,849,3681,4857,4920,5085,4744,0,0,0,0,0,4,40,58,31,2270,2019-07-07T15:51:24,"{""type"":""Point"",""coordinates"":[-72.17443905,42.53573871]}"
2_14,108,468,2160,922,422,632,367,994,3810,4978,5165,5208,5096,0,0,0,0,0,4,44,65,38,2254,2019-07-07T15:51:24,"{""type"":""Point"",""coordinates"":[-72.17581962,42.53481354]}"
2_15,108,519,2032,860,540,721,397,991,3536,4468,4612,4762,4847,0,0,0,0,0,4,55,74,41,2242,2019-07-07T15:51:24,"{""type"":""Point"",""coordinates"":[-72.17252866,42.53727737]}"
2_16,108,418,2017,783,420,621,325,937,3771,4798,4859,5071,5154,0,0,0,0,0,4,43,64,35,2215,2019-07-07T15:51:24,"{""type"":""Point"",""coordinates"":[-72.17333147,42.53687172]}"
2_17,108,395,2132,838,425,578,307,891,3829,4953,4990,5269,5156,0,0,0,0,0,4,44,59,32,2275,2019-07-07T15:51:24,"{""type"":""Point"",""coordinates"":[-72.1738539,42.53665254]}"
2_18,108,399,2101,877,408,601,328,904,3452,4501,4502,4799,4730,0,0,0,0,0,4,42,61,34,2200,2019-07-07T15:51:24,"{""type"":""Point"",""coordinates"":[-72.17524182,42.53602925]}"
