system:index,AOT,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,MSK_CLDPRB,MSK_SNWPRB,QA10,QA20,QA60,SCL,TCI_B,TCI_G,TCI_R,WVP,date,.geo
2_0,63,177,1570,612,171,433,227,877,2766,3323,3310,3523,3411,0,0,0,0,0,4,19,45,23,1681,2019-09-20T15:51:15,"{""type"":""Point"",""coordinates"":[-72.17176138,42.53735899]}"
2_1,63,178,1502,603,176,392,224,744,2480,3106,3298,3420,3472,0,0,0,0,0,4,18,40,24,1601,2019-09-20T15:51:15,"{""type"":""Point"",""coordinates"":[-72.17220166,42.53664271]}"
2_2,63,183,1605,657,167,403,231,847,2791,3395,3453,3707,3812,0,0,0,0,0,4,18,42,24,1645,2019-09-20T15:51:15,"{""type"":""Point"",""coordinates"":[-72.17294426,42.53548522]}"
2_3,63,181,1581,651,160,395,206,829,2652,3240,3212,3485,3808,0,0,0,0,0,4,17,41,22,1590,2019-09-20T15:51:15,"{""type"":""Point"",""coordinates"":[-72.17350955,42.53454769]}"
2_4,63,166,1594,637,174,443,217,828,2754,3268,3543,3711,3605,0,0,0,0,0,4,18,45,22,1620,2019-09-20T15:51:15,"{""type"":""Point"",""coordinates"":[-72.17384774,42.53400681]}"
2_5,63,190,1572,633,186,434,230,850,2734,3241,3322,3543,3192,0,0,0,0,0,4,21,44,24,1702,2019-09-20T15:51:15,"{""type"":""Point"",""coordinates"":[-72.17199578,42.53726421]}"
2_6,63,178,1587,631,180,403,238,906,2848,3380,3582,3685,3478,0,0,0,0,0,4,19,42,24,1666,2019-09-20T15:51:15,"{""type"":""Point"",""coordinates"":[-72.17274081,42.53651678]}"
2_7,63,173,1520,624,188,430,222,812,2821,3348,3523,3705,3590,0,0,0,0,0,4,20,43,23,1631,2019-09-20T15:51:15,"{""type"":""Point"",""coordinates"":[-72.17355408,42.53564725]}"
2_8,63,169,1598,634,160,391,199,819,2645,3233,3342,3592,3704,0,0,0,0,0,4,16,40,20,1563,2019-09-20T15:51:15,"{""type"":""Point"",""coordinates"":[-72.17428897,42.53489182]}"
2_9,63,165,1553,617,174,404,209,818,2766,3408,3541,3691,3705,0,0,0,0,0,4,18,42,22,1625,2019-09-20T15:51:15,"{""type"":""Point"",""coordinates"":[-72.17484656,42.53435635]}"
2_10,63,190,1572,633,186,434,230,850,2734,3241,3322,3543,3192,0,0,0,0,0,4,21,44,24,1702,2019-09-20T15:51:15,"{""type"":""Point"",""coordinates"":[-72.17215007,42.53732217]}"
2_11,63,178,1503,592,184,396,211,797,2629,3220,3228,3467,3478,0,0,0,0,0,4,18,41,23,1579,2019-09-20T15:51:15,"{""type"":""Point"",""coordinates"":[-72.17311207,42.53663424]}"
2_12,63,179,1474,595,155,361,222,878,2690,3136,3162,3407,3537,0,0,0,0,0,4,16,37,23,1615,2019-09-20T15:51:15,"{""type"":""Point"",""coordinates"":[-72.17376999,42.53619407]}"
2_13,63,174,1512,604,170,404,219,810,2784,3360,3411,3575,3273,0,0,0,0,0,4,17,41,22,1629,2019-09-20T15:51:15,"{""type"":""Point"",""coordinates"":[-72.17443905,42.53573871]}"
2_14,63,166,1582,626,179,437,228,860,2881,3523,3648,3846,3571,0,0,0,0,0,4,19,45,24,1636,2019-09-20T15:51:15,"{""type"":""Point"",""coordinates"":[-72.17581962,42.53481354]}"
2_15,63,190,1422,540,196,423,233,808,2555,3032,3062,3288,3192,0,0,0,0,0,4,21,43,24,1619,2019-09-20T15:51:15,"{""type"":""Point"",""coordinates"":[-72.17252866,42.53727737]}"
2_16,63,187,1457,582,186,404,225,782,2566,3032,3144,3381,3586,0,0,0,0,0,4,20,42,23,1577,2019-09-20T15:51:15,"{""type"":""Point"",""coordinates"":[-72.17333147,42.53687172]}"
2_17,63,179,1523,608,168,370,217,753,2700,3177,3319,3430,3537,0,0,0,0,0,4,18,38,23,1640,2019-09-20T15:51:15,"{""type"":""Point"",""coordinates"":[-72.1738539,42.53665254]}"
2_18,63,174,1535,647,161,360,231,902,2415,2968,3056,3123,3318,0,0,0,0,0,4,16,37,25,1586,2019-09-20T15:51:15,"{""type"":""Point"",""coordinates"":[-72.17524182,42.53602925]}"
2_19,63,173,1550,632,177,413,236,835,2650,3077,3180,3502,3480,0,0,0,0,0,4,18,42,24,1610,2019-09-20T15:51:15,"{""type"":""Point"",""coordinates"":[-72.17602022,42.53570034]}"
2_20,63,177,1488,601,178,360,218,822,2305,2648,2734,3047,3411,0,0,0,0,0,4,19,38,23,1579,2019-09-20T15:51:15,"{""type"":""Point"",""coordinates"":[-72.1718475,42.53772139]}"
2_21,63,184,1491,648,201,397,256,802,2217,2667,2773,2875,3293,0,0,0,0,0,4,21,40,26,1575,2019-09-20T15:51:15,"{""type"":""Point"",""coordinates"":[-72.17353167,42.53785563]}"
2_22,63,182,1471,591,189,409,220,776,2621,3255,3418,3531,3501,0,0,0,0,0,4,20,41,22,1681,2019-09-20T15:51:15,"{""type"":""Point"",""coordinates"":[-72.17424659,42.53791698]}"
2_23,63,186,1462,583,173,396,230,772,2637,3138,3284,3480,3390,0,0,0,0,0,4,18,40,23,1562,2019-09-20T15:51:15,"{""type"":""Point"",""coordinates"":[-72.1753998,42.53799538]}"
2_24,63,184,1252,525,189,416,218,749,2399,2932,3005,3138,2980,0,0,0,0,0,4,19,43,22,1574,2019-09-20T15:51:15,"{""type"":""Point"",""coordinates"":[-72.17725783,42.53817231]}"
2_25,63,201,1427,681,203,348,257,666,1740,2227,2250,2551,2734,0,0,0,0,0,4,21,36,27,1277,2019-09-20T15:51:15,"{""type"":""Point"",""coordinates"":[-72.17245577,42.53793523]}"
2_26,63,184,1359,564,180,399,223,778,2504,2853,3068,3261,3293,0,0,0,0,0,4,19,41,24,1689,2019-09-20T15:51:15,"{""type"":""Point"",""coordinates"":[-72.17339952,42.53816458]}"
2_27,63,192,1519,620,192,420,229,838,2675,3273,3307,3513,3010,0,0,0,0,0,4,21,43,24,1699,2019-09-20T15:51:15,"{""type"":""Point"",""coordinates"":[-72.17451928,42.53842324]}"
2_28,63,194,1390,559,191,410,223,798,2527,3021,3095,3289,3487,0,0,0,0,0,4,21,42,23,1600,2019-09-20T15:51:15,"{""type"":""Point"",""coordinates"":[-72.17598849,42.53879665]}"
2_29,63,193,1444,591,208,459,248,859,2638,3148,3281,3456,3393,0,0,0,0,0,4,23,47,25,1738,2019-09-20T15:51:15,"{""type"":""Point"",""coordinates"":[-72.17676584,42.53897192]}"
2_30,63,201,1443,711,223,391,278,756,1952,2204,2279,2354,2734,0,0,0,0,0,4,23,40,29,1277,2019-09-20T15:51:15,"{""type"":""Point"",""coordinates"":[-72.17256484,42.53813773]}"
2_31,63,191,1288,524,182,403,215,827,2356,2871,2846,3033,2855,0,0,0,0,0,4,19,42,22,1768,2019-09-20T15:51:15,"{""type"":""Point"",""coordinates"":[-72.17322802,42.53841011]}"
2_32,63,192,1215,571,159,319,261,820,1713,1940,1900,2287,3010,0,0,0,0,0,4,17,33,27,1443,2019-09-20T15:51:15,"{""type"":""Point"",""coordinates"":[-72.1742803,42.53885443]}"
2_33,63,208,1391,604,200,411,234,814,2211,2647,2639,2790,2895,0,0,0,0,0,4,21,42,24,1483,2019-09-20T15:51:15,"{""type"":""Point"",""coordinates"":[-72.17495193,42.539127]}"
2_34,63,191,1460,597,195,392,229,759,2417,2925,3031,3184,3342,0,0,0,0,0,4,21,41,23,1560,2019-09-20T15:51:15,"{""type"":""Point"",""coordinates"":[-72.17636887,42.53972391]}"
2_35,63,201,1389,551,182,443,239,819,2278,2822,2828,3049,2734,0,0,0,0,0,4,20,46,25,1579,2019-09-20T15:51:15,"{""type"":""Point"",""coordinates"":[-72.17198852,42.53799862]}"
2_36,63,191,1354,564,197,413,239,799,2338,2802,2882,3011,2855,0,0,0,0,0,4,19,43,25,1743,2019-09-20T15:51:15,"{""type"":""Point"",""coordinates"":[-72.17284229,42.53853796]}"
2_37,63,226,1596,824,282,451,446,1103,1965,2148,2303,2502,2570,0,0,0,0,0,4,29,47,46,1457,2019-09-20T15:51:15,"{""type"":""Point"",""coordinates"":[-72.17410794,42.539306]}"
2_38,63,207,1586,730,208,439,372,1109,2188,2510,2679,2904,2783,0,0,0,0,0,4,20,45,38,1508,2019-09-20T15:51:15,"{""type"":""Point"",""coordinates"":[-72.17483018,42.53976714]}"
2_39,63,190,1481,605,170,422,217,831,2562,3056,3101,3311,3504,0,0,0,0,0,4,18,43,23,1633,2019-09-20T15:51:15,"{""type"":""Point"",""coordinates"":[-72.17593787,42.54048131]}"
