system:index,AOT,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,MSK_CLDPRB,MSK_SNWPRB,QA10,QA20,QA60,SCL,TCI_B,TCI_G,TCI_R,WVP,date,.geo
2_0,80,200,1696,672,179,494,266,1026,2901,3426,3576,3793,3642,0,0,0,0,0,4,18,51,28,1411,2019-09-30T15:51:16,"{""type"":""Point"",""coordinates"":[-72.17176138,42.53735899]}"
2_1,80,321,1767,819,255,555,426,1081,2864,3360,3493,3674,3760,0,0,0,0,0,4,27,58,44,1332,2019-09-30T15:51:16,"{""type"":""Point"",""coordinates"":[-72.17220166,42.53664271]}"
2_2,80,179,1770,708,195,441,247,953,2933,3491,3657,3879,3981,0,0,0,0,0,4,20,45,25,1321,2019-09-30T15:51:16,"{""type"":""Point"",""coordinates"":[-72.17294426,42.53548522]}"
2_3,80,170,1671,675,166,448,225,915,2835,3346,3418,3723,3926,0,0,0,0,0,4,17,47,24,1266,2019-09-30T15:51:16,"{""type"":""Point"",""coordinates"":[-72.17350955,42.53454769]}"
2_4,80,167,1733,705,176,467,262,991,2862,3406,3648,3791,3776,0,0,0,0,0,4,18,48,28,1296,2019-09-30T15:51:16,"{""type"":""Point"",""coordinates"":[-72.17384774,42.53400681]}"
2_5,80,214,1722,700,178,469,244,1014,2867,3413,3529,3809,3442,0,0,0,0,0,4,19,48,25,1415,2019-09-30T15:51:16,"{""type"":""Point"",""coordinates"":[-72.17199578,42.53726421]}"
2_6,80,257,1827,784,339,647,490,1210,3095,3607,3778,3931,3713,0,0,0,0,0,4,34,66,50,1347,2019-09-30T15:51:16,"{""type"":""Point"",""coordinates"":[-72.17274081,42.53651678]}"
2_7,80,169,1671,653,181,464,236,944,2930,3538,3792,3908,3718,0,0,0,0,0,4,18,48,25,1346,2019-09-30T15:51:16,"{""type"":""Point"",""coordinates"":[-72.17355408,42.53564725]}"
2_8,80,173,1718,684,180,436,274,923,2802,3287,3515,3706,3887,0,0,0,0,0,4,19,45,28,1277,2019-09-30T15:51:16,"{""type"":""Point"",""coordinates"":[-72.17428897,42.53489182]}"
2_9,80,169,1692,685,170,435,232,886,2987,3522,3733,3852,3892,0,0,0,0,0,4,17,44,23,1314,2019-09-30T15:51:16,"{""type"":""Point"",""coordinates"":[-72.17484656,42.53435635]}"
2_10,80,214,1722,700,178,469,244,1014,2867,3413,3529,3809,3442,0,0,0,0,0,4,19,48,25,1415,2019-09-30T15:51:16,"{""type"":""Point"",""coordinates"":[-72.17215007,42.53732217]}"
2_11,80,257,1678,678,250,483,277,917,2790,3354,3583,3751,3713,0,0,0,0,0,4,26,49,28,1290,2019-09-30T15:51:16,"{""type"":""Point"",""coordinates"":[-72.17311207,42.53663424]}"
2_12,80,184,1586,648,168,407,260,972,2669,3242,3242,3501,3722,0,0,0,0,0,4,18,42,27,1272,2019-09-30T15:51:16,"{""type"":""Point"",""coordinates"":[-72.17376999,42.53619407]}"
2_13,80,178,1638,658,165,440,235,896,2909,3450,3673,3794,3314,0,0,0,0,0,4,17,45,24,1321,2019-09-30T15:51:16,"{""type"":""Point"",""coordinates"":[-72.17443905,42.53573871]}"
2_14,80,166,1696,694,171,469,243,956,2929,3538,3794,3806,3727,0,0,0,0,0,4,18,48,25,1319,2019-09-30T15:51:16,"{""type"":""Point"",""coordinates"":[-72.17581962,42.53481354]}"
2_15,80,214,1584,645,226,499,278,949,2753,3262,3475,3529,3442,0,0,0,0,0,4,23,51,29,1344,2019-09-30T15:51:16,"{""type"":""Point"",""coordinates"":[-72.17252866,42.53727737]}"
2_16,80,316,1717,703,473,681,447,1119,2901,3382,3607,3656,3874,0,0,0,0,0,4,47,70,46,1307,2019-09-30T15:51:16,"{""type"":""Point"",""coordinates"":[-72.17333147,42.53687172]}"
2_17,80,184,1673,667,179,408,234,899,2724,3270,3491,3735,3722,0,0,0,0,0,4,19,41,24,1320,2019-09-30T15:51:16,"{""type"":""Point"",""coordinates"":[-72.1738539,42.53665254]}"
2_18,80,183,1721,765,170,388,278,913,2444,2847,3032,3115,3225,0,0,0,0,0,4,18,40,29,1225,2019-09-30T15:51:16,"{""type"":""Point"",""coordinates"":[-72.17524182,42.53602925]}"
2_19,80,177,1661,714,175,428,259,957,2645,3146,3201,3295,3572,0,0,0,0,0,4,19,44,27,1314,2019-09-30T15:51:16,"{""type"":""Point"",""coordinates"":[-72.17602022,42.53570034]}"
2_20,80,200,1642,678,172,401,268,943,2350,2795,2886,3251,3642,0,0,0,0,0,4,19,42,28,1279,2019-09-30T15:51:16,"{""type"":""Point"",""coordinates"":[-72.1718475,42.53772139]}"
2_21,80,177,1608,692,191,426,269,831,2418,2899,2989,3184,3404,0,0,0,0,0,4,21,44,28,1273,2019-09-30T15:51:16,"{""type"":""Point"",""coordinates"":[-72.17353167,42.53785563]}"
2_22,80,170,1599,644,155,426,232,871,2794,3374,3565,3675,3600,0,0,0,0,0,4,17,44,24,1346,2019-09-30T15:51:16,"{""type"":""Point"",""coordinates"":[-72.17424659,42.53791698]}"
2_23,80,173,1571,629,167,415,226,861,2696,3269,3404,3536,3538,0,0,0,0,0,4,18,43,23,1273,2019-09-30T15:51:16,"{""type"":""Point"",""coordinates"":[-72.1753998,42.53799538]}"
2_24,80,172,1342,573,178,448,247,838,2530,3009,3199,3240,3137,0,0,0,0,0,4,19,47,26,1281,2019-09-30T15:51:16,"{""type"":""Point"",""coordinates"":[-72.17725783,42.53817231]}"
2_25,80,190,1512,745,196,370,285,673,1929,2342,2423,2439,2921,0,0,0,0,0,4,20,38,29,1010,2019-09-30T15:51:16,"{""type"":""Point"",""coordinates"":[-72.17245577,42.53793523]}"
2_26,80,177,1461,593,165,437,242,932,2641,3168,3332,3382,3404,0,0,0,0,0,4,18,45,25,1425,2019-09-30T15:51:16,"{""type"":""Point"",""coordinates"":[-72.17339952,42.53816458]}"
2_27,80,180,1650,676,165,463,242,947,2815,3339,3519,3763,2967,0,0,0,0,0,4,17,48,25,1452,2019-09-30T15:51:16,"{""type"":""Point"",""coordinates"":[-72.17451928,42.53842324]}"
2_28,80,175,1537,616,157,431,243,885,2691,3170,3276,3491,3706,0,0,0,0,0,4,17,45,27,1319,2019-09-30T15:51:16,"{""type"":""Point"",""coordinates"":[-72.17598849,42.53879665]}"
2_29,80,186,1544,623,193,495,259,946,2798,3330,3481,3592,3573,0,0,0,0,0,4,20,51,27,1406,2019-09-30T15:51:16,"{""type"":""Point"",""coordinates"":[-72.17676584,42.53897192]}"
2_30,80,190,1488,744,227,390,292,755,1931,2294,2265,2627,2921,0,0,0,0,0,4,24,39,29,1094,2019-09-30T15:51:16,"{""type"":""Point"",""coordinates"":[-72.17256484,42.53813773]}"
2_31,80,170,1362,572,141,412,216,882,2453,2850,2976,3112,2999,0,0,0,0,0,4,16,42,23,1486,2019-09-30T15:51:16,"{""type"":""Point"",""coordinates"":[-72.17322802,42.53841011]}"
2_32,80,180,1366,705,155,314,311,824,1671,1958,1763,2058,2967,0,0,0,0,0,4,17,33,32,1130,2019-09-30T15:51:16,"{""type"":""Point"",""coordinates"":[-72.1742803,42.53885443]}"
2_33,80,199,1498,676,160,390,280,867,1991,2308,2558,2697,2801,0,0,0,0,0,4,16,40,29,1187,2019-09-30T15:51:16,"{""type"":""Point"",""coordinates"":[-72.17495193,42.539127]}"
2_34,80,183,1612,678,185,428,255,875,2533,3029,3253,3380,3557,0,0,0,0,0,4,19,44,27,1315,2019-09-30T15:51:16,"{""type"":""Point"",""coordinates"":[-72.17636887,42.53972391]}"
2_35,80,190,1547,633,184,458,268,945,2399,2794,3116,3126,2921,0,0,0,0,0,4,20,48,28,1319,2019-09-30T15:51:16,"{""type"":""Point"",""coordinates"":[-72.17198852,42.53799862]}"
2_36,80,170,1496,630,177,419,229,862,2438,2855,2988,3169,2999,0,0,0,0,0,4,19,43,24,1476,2019-09-30T15:51:16,"{""type"":""Point"",""coordinates"":[-72.17284229,42.53853796]}"
2_37,80,248,1927,1065,303,478,553,1147,1724,1967,2186,2429,2383,0,0,0,0,0,4,31,50,57,1188,2019-09-30T15:51:16,"{""type"":""Point"",""coordinates"":[-72.17410794,42.539306]}"
2_38,80,216,1915,969,223,459,458,1158,1977,2248,2466,2678,2523,0,0,0,0,0,4,23,47,48,1151,2019-09-30T15:51:16,"{""type"":""Point"",""coordinates"":[-72.17483018,42.53976714]}"
2_39,80,183,1610,656,171,447,241,928,2643,3184,3279,3480,3731,0,0,0,0,0,4,18,46,25,1363,2019-09-30T15:51:16,"{""type"":""Point"",""coordinates"":[-72.17593787,42.54048131]}"
