system:index,AOT,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,MSK_CLDPRB,MSK_SNWPRB,QA10,QA20,QA60,SCL,TCI_B,TCI_G,TCI_R,WVP,date,.geo
2_0,91,138,1678,654,212,462,239,934,2862,3419,3603,3717,3602,0,0,0,0,0,4,22,47,24,1331,2019-09-25T15:51:15,"{""type"":""Point"",""coordinates"":[-72.17176138,42.53735899]}"
2_1,91,127,1658,674,186,389,216,799,2607,3171,3462,3602,3628,0,0,0,0,0,4,19,41,23,1248,2019-09-25T15:51:15,"{""type"":""Point"",""coordinates"":[-72.17220166,42.53664271]}"
2_2,91,143,1697,708,197,414,226,868,2845,3501,3668,3792,3968,0,0,0,0,0,4,21,42,23,1256,2019-09-25T15:51:15,"{""type"":""Point"",""coordinates"":[-72.17294426,42.53548522]}"
2_3,91,134,1678,674,182,417,210,878,2806,3414,3458,3701,3964,0,0,0,0,0,4,19,43,22,1215,2019-09-25T15:51:15,"{""type"":""Point"",""coordinates"":[-72.17350955,42.53454769]}"
2_4,91,137,1754,717,194,457,237,874,2783,3496,3763,3905,3831,0,0,0,0,0,4,20,47,25,1262,2019-09-25T15:51:15,"{""type"":""Point"",""coordinates"":[-72.17384774,42.53400681]}"
2_5,91,149,1670,672,200,423,229,866,2808,3434,3520,3751,3335,0,0,0,0,0,4,21,44,24,1342,2019-09-25T15:51:15,"{""type"":""Point"",""coordinates"":[-72.17199578,42.53726421]}"
2_6,91,133,1710,682,192,433,248,883,2895,3511,3786,3849,3630,0,0,0,0,0,4,21,44,26,1358,2019-09-25T15:51:15,"{""type"":""Point"",""coordinates"":[-72.17274081,42.53651678]}"
2_7,91,139,1646,660,192,430,218,840,2794,3506,3716,3882,3703,0,0,0,0,0,4,21,44,23,1270,2019-09-25T15:51:15,"{""type"":""Point"",""coordinates"":[-72.17355408,42.53564725]}"
2_8,91,139,1691,710,209,415,226,814,2724,3390,3568,3722,3900,0,0,0,0,0,4,22,43,24,1235,2019-09-25T15:51:15,"{""type"":""Point"",""coordinates"":[-72.17428897,42.53489182]}"
2_9,91,143,1671,675,199,431,217,825,2927,3544,3878,3868,3937,0,0,0,0,0,4,21,45,23,1270,2019-09-25T15:51:15,"{""type"":""Point"",""coordinates"":[-72.17484656,42.53435635]}"
2_10,91,149,1670,672,200,423,229,866,2808,3434,3520,3751,3335,0,0,0,0,0,4,21,44,24,1342,2019-09-25T15:51:15,"{""type"":""Point"",""coordinates"":[-72.17215007,42.53732217]}"
2_11,91,133,1614,649,197,411,223,791,2717,3355,3541,3681,3630,0,0,0,0,0,4,21,43,23,1270,2019-09-25T15:51:15,"{""type"":""Point"",""coordinates"":[-72.17311207,42.53663424]}"
2_12,91,138,1593,646,181,378,240,926,2605,3276,3292,3550,3693,0,0,0,0,0,4,18,39,25,1232,2019-09-25T15:51:15,"{""type"":""Point"",""coordinates"":[-72.17376999,42.53619407]}"
2_13,91,136,1637,647,205,416,222,811,2861,3562,3753,3786,3339,0,0,0,0,0,4,22,42,22,1298,2019-09-25T15:51:15,"{""type"":""Point"",""coordinates"":[-72.17443905,42.53573871]}"
2_14,91,134,1733,688,202,438,236,926,2938,3569,3925,3965,3798,0,0,0,0,0,4,20,45,25,1262,2019-09-25T15:51:15,"{""type"":""Point"",""coordinates"":[-72.17581962,42.53481354]}"
2_15,91,149,1508,612,207,446,226,837,2638,3128,3430,3505,3335,0,0,0,0,0,4,22,46,24,1285,2019-09-25T15:51:15,"{""type"":""Point"",""coordinates"":[-72.17252866,42.53727737]}"
2_16,91,144,1595,632,201,417,222,844,2679,3291,3416,3540,3733,0,0,0,0,0,4,21,43,23,1272,2019-09-25T15:51:15,"{""type"":""Point"",""coordinates"":[-72.17333147,42.53687172]}"
2_17,91,138,1614,661,191,364,215,755,2698,3341,3475,3655,3693,0,0,0,0,0,4,20,38,23,1301,2019-09-25T15:51:15,"{""type"":""Point"",""coordinates"":[-72.1738539,42.53665254]}"
2_18,91,141,1603,698,183,355,267,951,2583,2812,3005,3079,3373,0,0,0,0,0,4,20,36,28,1263,2019-09-25T15:51:15,"{""type"":""Point"",""coordinates"":[-72.17524182,42.53602925]}"
2_19,91,139,1687,693,205,405,252,914,2608,3095,3251,3526,3614,0,0,0,0,0,4,21,42,26,1254,2019-09-25T15:51:15,"{""type"":""Point"",""coordinates"":[-72.17602022,42.53570034]}"
2_20,91,138,1583,627,189,354,234,809,2147,2746,2818,3088,3602,0,0,0,0,0,4,19,37,25,1255,2019-09-25T15:51:15,"{""type"":""Point"",""coordinates"":[-72.1718475,42.53772139]}"
2_21,91,143,1561,675,207,408,244,778,2369,2835,3056,3001,3339,0,0,0,0,0,4,22,41,25,1268,2019-09-25T15:51:15,"{""type"":""Point"",""coordinates"":[-72.17353167,42.53785563]}"
2_22,91,129,1551,617,195,405,211,777,2726,3288,3590,3602,3576,0,0,0,0,0,4,21,42,21,1285,2019-09-25T15:51:15,"{""type"":""Point"",""coordinates"":[-72.17424659,42.53791698]}"
2_23,91,133,1506,584,185,394,210,743,2543,3142,3375,3479,3525,0,0,0,0,0,4,19,41,21,1175,2019-09-25T15:51:15,"{""type"":""Point"",""coordinates"":[-72.1753998,42.53799538]}"
2_24,91,144,1372,567,224,429,220,765,2504,3050,3197,3274,3136,0,0,0,0,0,4,23,44,23,1250,2019-09-25T15:51:15,"{""type"":""Point"",""coordinates"":[-72.17725783,42.53817231]}"
2_25,91,149,1430,692,209,332,263,681,1861,2069,2315,2390,2847,0,0,0,0,0,4,22,34,27,942,2019-09-25T15:51:15,"{""type"":""Point"",""coordinates"":[-72.17245577,42.53793523]}"
2_26,91,143,1440,572,192,398,218,812,2419,3086,3327,3372,3339,0,0,0,0,0,4,19,41,23,1350,2019-09-25T15:51:15,"{""type"":""Point"",""coordinates"":[-72.17339952,42.53816458]}"
2_27,91,141,1616,647,201,440,227,884,2820,3327,3522,3646,2930,0,0,0,0,0,4,21,46,24,1390,2019-09-25T15:51:15,"{""type"":""Point"",""coordinates"":[-72.17451928,42.53842324]}"
2_28,91,147,1514,595,198,427,225,816,2613,3162,3329,3469,3656,0,0,0,0,0,4,21,44,23,1274,2019-09-25T15:51:15,"{""type"":""Point"",""coordinates"":[-72.17598849,42.53879665]}"
2_29,91,143,1571,628,230,458,248,883,2769,3313,3496,3590,3591,0,0,0,0,0,4,23,47,26,1346,2019-09-25T15:51:15,"{""type"":""Point"",""coordinates"":[-72.17676584,42.53897192]}"
2_30,91,149,1536,714,221,387,282,731,2005,2466,2463,2519,2847,0,0,0,0,0,4,24,40,29,1051,2019-09-25T15:51:15,"{""type"":""Point"",""coordinates"":[-72.17256484,42.53813773]}"
2_31,91,128,1321,555,178,387,195,861,2409,2758,2923,3076,2920,0,0,0,0,0,4,19,40,21,1408,2019-09-25T15:51:15,"{""type"":""Point"",""coordinates"":[-72.17322802,42.53841011]}"
2_32,91,141,1331,657,182,279,313,792,1478,1801,1848,2157,2930,0,0,0,0,0,4,18,29,32,1116,2019-09-25T15:51:15,"{""type"":""Point"",""coordinates"":[-72.1742803,42.53885443]}"
2_33,91,164,1387,658,186,382,269,835,1998,2339,2447,2553,2765,0,0,0,0,0,4,19,39,28,1073,2019-09-25T15:51:15,"{""type"":""Point"",""coordinates"":[-72.17495193,42.539127]}"
2_34,91,132,1584,675,202,410,244,817,2619,3193,3357,3491,3589,0,0,0,0,0,4,21,42,25,1268,2019-09-25T15:51:15,"{""type"":""Point"",""coordinates"":[-72.17636887,42.53972391]}"
