system:index,AOT,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,MSK_CLDPRB,MSK_SNWPRB,QA10,QA20,QA60,SCL,TCI_B,TCI_G,TCI_R,WVP,date,.geo
2_0,57,355,2139,1281,438,707,619,1352,2193,2399,2574,2682,2981,0,0,0,0,0,10,46,72,63,894,2019-05-18T15:51:23,"{""type"":""Point"",""coordinates"":[-72.17176138,42.53735899]}"
2_1,57,373,2364,1467,512,816,748,1462,2309,2528,2698,2774,3054,0,0,0,0,0,10,52,84,77,894,2019-05-18T15:51:23,"{""type"":""Point"",""coordinates"":[-72.17220166,42.53664271]}"
2_2,57,344,2111,1266,455,750,599,1340,2194,2427,2616,2650,3096,0,0,0,0,0,10,46,77,61,894,2019-05-18T15:51:23,"{""type"":""Point"",""coordinates"":[-72.17294426,42.53548522]}"
2_3,57,328,2061,1170,423,744,523,1323,2370,2597,2836,2948,3170,0,0,0,0,0,10,44,76,54,894,2019-05-18T15:51:23,"{""type"":""Point"",""coordinates"":[-72.17350955,42.53454769]}"
2_4,57,332,2262,1320,454,769,657,1424,2343,2606,2830,2927,3256,0,0,0,0,0,10,48,79,68,894,2019-05-18T15:51:23,"{""type"":""Point"",""coordinates"":[-72.17384774,42.53400681]}"
2_5,57,348,2186,1310,461,753,641,1382,2170,2386,2632,2690,2886,0,0,0,0,0,10,48,77,66,894,2019-05-18T15:51:23,"{""type"":""Point"",""coordinates"":[-72.17199578,42.53726421]}"
2_6,57,353,2304,1428,461,747,696,1355,2117,2324,2502,2650,3030,0,0,0,0,0,10,48,76,70,894,2019-05-18T15:51:23,"{""type"":""Point"",""coordinates"":[-72.17274081,42.53651678]}"
2_7,57,343,2207,1369,474,757,667,1362,2118,2378,2605,2625,2902,0,0,0,0,0,10,50,77,68,894,2019-05-18T15:51:23,"{""type"":""Point"",""coordinates"":[-72.17355408,42.53564725]}"
2_8,57,342,2308,1442,454,719,658,1396,2110,2354,2579,2593,3108,0,0,0,0,0,10,48,74,67,894,2019-05-18T15:51:23,"{""type"":""Point"",""coordinates"":[-72.17428897,42.53489182]}"
2_9,57,334,2298,1406,431,715,662,1372,2136,2393,2635,2658,3217,0,0,0,0,0,10,44,73,68,894,2019-05-18T15:51:23,"{""type"":""Point"",""coordinates"":[-72.17484656,42.53435635]}"
2_10,57,348,2186,1310,461,753,641,1382,2170,2386,2632,2690,2886,0,0,0,0,0,10,48,77,66,894,2019-05-18T15:51:23,"{""type"":""Point"",""coordinates"":[-72.17215007,42.53732217]}"
2_11,57,353,2107,1263,442,710,608,1262,2140,2337,2523,2552,3030,0,0,0,0,0,10,45,72,62,894,2019-05-18T15:51:23,"{""type"":""Point"",""coordinates"":[-72.17311207,42.53663424]}"
2_12,57,351,2001,1218,420,685,549,1229,2044,2280,2500,2517,2960,0,0,0,0,0,10,44,70,57,894,2019-05-18T15:51:23,"{""type"":""Point"",""coordinates"":[-72.17376999,42.53619407]}"
2_13,57,351,2280,1453,488,748,721,1358,1905,2133,2320,2383,2872,0,0,0,0,0,10,51,76,74,894,2019-05-18T15:51:23,"{""type"":""Point"",""coordinates"":[-72.17443905,42.53573871]}"
2_14,57,320,2278,1378,445,751,656,1373,2184,2474,2621,2735,2997,0,0,0,0,0,10,45,77,67,894,2019-05-18T15:51:23,"{""type"":""Point"",""coordinates"":[-72.17581962,42.53481354]}"
2_15,57,348,1996,1193,414,659,582,1169,2036,2268,2508,2499,2886,0,0,0,0,0,10,43,68,60,894,2019-05-18T15:51:23,"{""type"":""Point"",""coordinates"":[-72.17252866,42.53727737]}"
2_16,57,366,2176,1327,445,678,636,1276,2020,2267,2405,2546,2999,0,0,0,0,0,10,45,70,66,894,2019-05-18T15:51:23,"{""type"":""Point"",""coordinates"":[-72.17333147,42.53687172]}"
2_17,57,351,2131,1277,432,756,591,1351,2196,2401,2617,2680,2960,0,0,0,0,0,10,44,77,62,894,2019-05-18T15:51:23,"{""type"":""Point"",""coordinates"":[-72.1738539,42.53665254]}"
2_18,57,387,2390,1510,493,729,722,1392,2135,2369,2559,2637,3004,0,0,0,0,0,10,50,75,74,894,2019-05-18T15:51:23,"{""type"":""Point"",""coordinates"":[-72.17524182,42.53602925]}"
2_19,57,376,2455,1556,515,794,792,1444,2182,2419,2519,2575,2946,0,0,0,0,0,10,54,81,81,894,2019-05-18T15:51:23,"{""type"":""Point"",""coordinates"":[-72.17602022,42.53570034]}"
2_20,57,355,1784,1058,391,590,498,1135,1896,2132,2216,2438,2981,0,0,0,0,0,10,39,61,52,894,2019-05-18T15:51:23,"{""type"":""Point"",""coordinates"":[-72.1718475,42.53772139]}"
2_21,57,325,1769,1054,434,640,565,1091,1856,2084,2339,2275,2658,0,0,0,0,0,10,44,65,57,894,2019-05-18T15:51:23,"{""type"":""Point"",""coordinates"":[-72.17353167,42.53785563]}"
2_22,57,332,1879,1131,437,684,574,1219,2037,2249,2457,2469,2690,0,0,0,0,0,10,46,70,59,894,2019-05-18T15:51:23,"{""type"":""Point"",""coordinates"":[-72.17424659,42.53791698]}"
2_23,57,340,2011,1206,448,689,640,1223,1900,2060,2333,2329,2693,0,0,0,0,0,10,45,71,66,894,2019-05-18T15:51:23,"{""type"":""Point"",""coordinates"":[-72.1753998,42.53799538]}"
2_24,57,280,1491,857,352,532,444,960,1782,2032,2120,2247,2656,0,0,0,0,0,10,36,55,46,894,2019-05-18T15:51:23,"{""type"":""Point"",""coordinates"":[-72.17725783,42.53817231]}"
2_25,57,316,1639,986,402,572,506,946,1773,1995,2178,2199,2695,0,0,0,0,0,10,41,58,53,894,2019-05-18T15:51:23,"{""type"":""Point"",""coordinates"":[-72.17245577,42.53793523]}"
2_26,57,325,1580,899,417,631,507,1044,1833,2064,2410,2346,2658,0,0,0,0,0,10,42,64,53,894,2019-05-18T15:51:23,"{""type"":""Point"",""coordinates"":[-72.17339952,42.53816458]}"
2_27,57,335,1702,1000,403,649,521,1135,1968,2152,2346,2383,2526,0,0,0,0,0,10,43,66,54,894,2019-05-18T15:51:23,"{""type"":""Point"",""coordinates"":[-72.17451928,42.53842324]}"
2_28,57,339,1825,1085,399,626,536,1134,1893,2073,2300,2357,2733,0,0,0,0,0,10,41,64,55,894,2019-05-18T15:51:23,"{""type"":""Point"",""coordinates"":[-72.17598849,42.53879665]}"
2_29,57,305,1557,896,353,552,417,994,1906,2158,2297,2329,2759,0,0,0,0,0,10,37,56,43,894,2019-05-18T15:51:23,"{""type"":""Point"",""coordinates"":[-72.17676584,42.53897192]}"
2_30,57,316,1607,952,399,561,483,952,1762,1976,2170,2178,2695,0,0,0,0,0,10,40,58,51,894,2019-05-18T15:51:23,"{""type"":""Point"",""coordinates"":[-72.17256484,42.53813773]}"
2_31,57,291,1383,747,342,557,370,920,1957,2215,2403,2403,2485,0,0,0,0,0,10,36,57,39,894,2019-05-18T15:51:23,"{""type"":""Point"",""coordinates"":[-72.17322802,42.53841011]}"
2_32,57,335,1544,1012,453,618,613,1084,1642,1873,2036,2160,2526,0,0,0,0,0,10,47,63,63,894,2019-05-18T15:51:23,"{""type"":""Point"",""coordinates"":[-72.1742803,42.53885443]}"
2_33,57,330,1654,1065,440,629,590,1083,1667,1859,2068,2095,2536,0,0,0,0,0,10,46,64,60,894,2019-05-18T15:51:23,"{""type"":""Point"",""coordinates"":[-72.17495193,42.539127]}"
2_34,57,294,1625,945,385,600,480,1041,2009,2274,2387,2495,2818,0,0,0,0,0,10,40,61,50,894,2019-05-18T15:51:23,"{""type"":""Point"",""coordinates"":[-72.17636887,42.53972391]}"
2_35,57,316,1605,930,375,612,449,1025,2077,2283,2482,2388,2695,0,0,0,0,0,10,38,62,46,894,2019-05-18T15:51:23,"{""type"":""Point"",""coordinates"":[-72.17198852,42.53799862]}"
2_36,57,291,1489,837,355,568,419,978,1916,2159,2385,2362,2485,0,0,0,0,0,10,37,58,43,894,2019-05-18T15:51:23,"{""type"":""Point"",""coordinates"":[-72.17284229,42.53853796]}"
2_37,57,358,1539,1040,505,663,660,1111,1639,1818,2036,2069,2396,0,0,0,0,0,10,52,68,68,894,2019-05-18T15:51:23,"{""type"":""Point"",""coordinates"":[-72.17410794,42.539306]}"
2_38,57,335,1569,987,441,632,594,1074,1723,1913,2122,2196,2526,0,0,0,0,0,10,46,65,61,894,2019-05-18T15:51:23,"{""type"":""Point"",""coordinates"":[-72.17483018,42.53976714]}"
2_39,57,310,1589,911,394,592,460,1016,2037,2313,2441,2538,2836,0,0,0,0,0,10,40,61,48,894,2019-05-18T15:51:23,"{""type"":""Point"",""coordinates"":[-72.17593787,42.54048131]}"
