system:index,AOT,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,MSK_CLDPRB,MSK_SNWPRB,QA10,QA20,QA60,SCL,TCI_B,TCI_G,TCI_R,WVP,date,.geo
2_0,57,212,1615,1042,238,338,485,725,1119,1307,1579,1647,1771,0,0,0,0,0,4,25,36,51,204,2019-11-09T15:51:17,"{""type"":""Point"",""coordinates"":[-72.17176138,42.53735899]}"
2_1,57,253,1962,1234,292,423,598,873,1192,1435,1773,1850,1723,0,0,0,0,0,4,30,44,62,267,2019-11-09T15:51:17,"{""type"":""Point"",""coordinates"":[-72.17220166,42.53664271]}"
2_2,57,255,1897,1229,286,431,603,879,1341,1567,1874,1906,1845,0,0,0,0,0,4,30,45,63,247,2019-11-09T15:51:17,"{""type"":""Point"",""coordinates"":[-72.17294426,42.53548522]}"
2_3,57,246,1852,1146,293,428,606,906,1298,1583,1898,1941,1854,0,0,0,0,0,4,31,45,63,224,2019-11-09T15:51:17,"{""type"":""Point"",""coordinates"":[-72.17350955,42.53454769]}"
2_4,57,256,1871,1213,274,431,610,903,1298,1517,1810,1948,1839,0,0,0,0,0,4,29,45,63,234,2019-11-09T15:51:17,"{""type"":""Point"",""coordinates"":[-72.17384774,42.53400681]}"
2_5,57,211,1756,1101,258,378,534,789,1207,1483,1801,1771,1766,0,0,0,0,0,4,27,39,54,204,2019-11-09T15:51:17,"{""type"":""Point"",""coordinates"":[-72.17199578,42.53726421]}"
2_6,57,243,1921,1243,263,426,608,874,1273,1507,1781,1812,1676,0,0,0,0,0,5,28,43,62,255,2019-11-09T15:51:17,"{""type"":""Point"",""coordinates"":[-72.17274081,42.53651678]}"
2_7,57,229,1807,1139,272,396,588,855,1268,1487,1831,1871,1648,0,0,0,0,0,4,27,41,60,272,2019-11-09T15:51:17,"{""type"":""Point"",""coordinates"":[-72.17355408,42.53564725]}"
2_8,57,264,2046,1308,319,425,674,933,1309,1463,1792,1943,1919,0,0,0,0,0,5,33,44,68,265,2019-11-09T15:51:17,"{""type"":""Point"",""coordinates"":[-72.17428897,42.53489182]}"
2_9,57,251,1847,1158,250,396,608,897,1276,1458,1837,1912,1872,0,0,0,0,0,4,27,41,63,220,2019-11-09T15:51:17,"{""type"":""Point"",""coordinates"":[-72.17484656,42.53435635]}"
2_10,57,211,1756,1101,258,378,534,789,1207,1483,1801,1771,1766,0,0,0,0,0,4,27,39,54,204,2019-11-09T15:51:17,"{""type"":""Point"",""coordinates"":[-72.17215007,42.53732217]}"
2_11,57,243,1867,1188,256,405,569,882,1343,1629,2014,2011,1676,0,0,0,0,0,4,27,42,59,255,2019-11-09T15:51:17,"{""type"":""Point"",""coordinates"":[-72.17311207,42.53663424]}"
2_12,57,239,1487,954,216,316,383,653,1072,1286,1487,1567,1625,0,0,0,0,0,4,22,33,40,204,2019-11-09T15:51:17,"{""type"":""Point"",""coordinates"":[-72.17376999,42.53619407]}"
2_13,57,231,1777,1132,252,393,556,793,1074,1244,1517,1585,1526,0,0,0,0,0,5,27,40,57,192,2019-11-09T15:51:17,"{""type"":""Point"",""coordinates"":[-72.17443905,42.53573871]}"
2_14,57,233,1727,1104,244,385,526,813,1235,1434,1766,1818,1776,0,0,0,0,0,4,26,40,54,232,2019-11-09T15:51:17,"{""type"":""Point"",""coordinates"":[-72.17581962,42.53481354]}"
2_15,57,211,1651,1001,221,421,524,850,1606,1868,2155,2153,1766,0,0,0,0,0,4,23,43,53,269,2019-11-09T15:51:17,"{""type"":""Point"",""coordinates"":[-72.17252866,42.53727737]}"
2_16,57,241,1726,1107,235,373,539,774,1205,1413,1649,1759,1845,0,0,0,0,0,4,24,39,56,231,2019-11-09T15:51:17,"{""type"":""Point"",""coordinates"":[-72.17333147,42.53687172]}"
2_17,57,239,1761,1172,285,408,575,842,1235,1444,1754,1824,1625,0,0,0,0,0,4,30,42,60,233,2019-11-09T15:51:17,"{""type"":""Point"",""coordinates"":[-72.1738539,42.53665254]}"
2_18,57,267,1834,1250,284,432,623,922,1197,1365,1603,1729,1732,0,0,0,0,0,5,29,44,64,254,2019-11-09T15:51:17,"{""type"":""Point"",""coordinates"":[-72.17524182,42.53602925]}"
2_19,57,262,2058,1299,308,437,662,962,1300,1531,1763,1949,1974,0,0,0,0,0,5,31,45,68,281,2019-11-09T15:51:17,"{""type"":""Point"",""coordinates"":[-72.17602022,42.53570034]}"
2_20,57,212,1571,965,239,361,418,676,1253,1507,1687,1735,1771,0,0,0,0,0,4,25,37,44,246,2019-11-09T15:51:17,"{""type"":""Point"",""coordinates"":[-72.1718475,42.53772139]}"
2_21,57,183,1393,865,213,349,394,647,1185,1398,1636,1780,1641,0,0,0,0,0,4,22,36,40,197,2019-11-09T15:51:17,"{""type"":""Point"",""coordinates"":[-72.17353167,42.53785563]}"
2_22,57,192,1441,875,200,339,374,655,1220,1487,1637,1675,1643,0,0,0,0,0,4,20,36,38,248,2019-11-09T15:51:17,"{""type"":""Point"",""coordinates"":[-72.17424659,42.53791698]}"
2_23,57,191,1479,913,221,353,418,694,1146,1376,1594,1736,1611,0,0,0,0,0,4,22,37,43,264,2019-11-09T15:51:17,"{""type"":""Point"",""coordinates"":[-72.1753998,42.53799538]}"
2_24,57,135,1043,595,151,291,276,579,1364,1554,1720,1817,2051,0,0,0,0,0,4,15,29,28,231,2019-11-09T15:51:17,"{""type"":""Point"",""coordinates"":[-72.17725783,42.53817231]}"
2_25,57,183,1360,815,201,317,358,596,1200,1409,1469,1681,1671,0,0,0,0,0,4,21,33,38,216,2019-11-09T15:51:17,"{""type"":""Point"",""coordinates"":[-72.17245577,42.53793523]}"
2_26,57,183,1132,698,202,351,304,594,1358,1493,1824,1835,1641,0,0,0,0,0,4,20,36,31,332,2019-11-09T15:51:17,"{""type"":""Point"",""coordinates"":[-72.17339952,42.53816458]}"
2_27,57,187,1294,820,215,353,364,651,1302,1521,1743,1766,1530,0,0,0,0,0,4,22,37,38,275,2019-11-09T15:51:17,"{""type"":""Point"",""coordinates"":[-72.17451928,42.53842324]}"
2_28,57,188,1392,833,222,359,360,676,1367,1571,1962,1941,1730,0,0,0,0,0,4,24,37,38,305,2019-11-09T15:51:17,"{""type"":""Point"",""coordinates"":[-72.17598849,42.53879665]}"
2_29,57,178,1206,681,168,347,296,660,1484,1680,2095,1989,1844,0,0,0,0,0,4,18,36,32,300,2019-11-09T15:51:17,"{""type"":""Point"",""coordinates"":[-72.17676584,42.53897192]}"
2_30,57,183,1184,736,189,297,307,532,1051,1208,1380,1549,1671,0,0,0,0,0,4,20,31,32,197,2019-11-09T15:51:17,"{""type"":""Point"",""coordinates"":[-72.17256484,42.53813773]}"
2_31,57,139,1024,560,136,312,237,679,1580,1819,1960,2011,1828,0,0,0,0,0,4,15,33,26,386,2019-11-09T15:51:17,"{""type"":""Point"",""coordinates"":[-72.17322802,42.53841011]}"
2_32,57,187,1093,740,194,311,367,597,894,1036,1046,1166,1530,0,0,0,0,0,2,21,33,39,308,2019-11-09T15:51:17,"{""type"":""Point"",""coordinates"":[-72.1742803,42.53885443]}"
2_33,57,219,1173,835,232,344,403,612,941,1034,1253,1316,1594,0,0,0,0,0,2,25,35,42,308,2019-11-09T15:51:17,"{""type"":""Point"",""coordinates"":[-72.17495193,42.539127]}"
2_34,57,169,1231,740,190,339,332,633,1373,1610,1787,1844,1733,0,0,0,0,0,4,20,35,35,267,2019-11-09T15:51:17,"{""type"":""Point"",""coordinates"":[-72.17636887,42.53972391]}"
2_35,57,183,1430,850,206,373,350,729,1541,1821,2107,2024,1671,0,0,0,0,0,4,20,39,36,291,2019-11-09T15:51:17,"{""type"":""Point"",""coordinates"":[-72.17198852,42.53799862]}"
2_36,57,139,1078,615,144,269,250,596,1304,1549,1610,1739,1828,0,0,0,0,0,4,16,27,26,325,2019-11-09T15:51:17,"{""type"":""Point"",""coordinates"":[-72.17284229,42.53853796]}"
2_37,57,247,1695,1166,346,484,647,867,1139,1274,1548,1577,1601,0,0,0,0,0,5,35,50,67,229,2019-11-09T15:51:17,"{""type"":""Point"",""coordinates"":[-72.17410794,42.539306]}"
2_38,57,226,1602,1047,284,452,577,911,1214,1409,1727,1800,1597,0,0,0,0,0,4,28,46,60,216,2019-11-09T15:51:17,"{""type"":""Point"",""coordinates"":[-72.17483018,42.53976714]}"
2_39,57,203,1284,708,175,328,310,631,1516,1784,1890,1961,2008,0,0,0,0,0,4,20,34,32,269,2019-11-09T15:51:17,"{""type"":""Point"",""coordinates"":[-72.17593787,42.54048131]}"
