system:index,AOT,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,MSK_CLDPRB,MSK_SNWPRB,QA10,QA20,QA60,SCL,TCI_B,TCI_G,TCI_R,WVP,date,.geo
2_0,57,488,1606,1106,455,556,617,838,1205,1401,1622,1760,2162,0,0,0,0,2048,7,48,57,63,404,2019-11-29T15:51:14,"{""type"":""Point"",""coordinates"":[-72.17176138,42.53735899]}"
2_1,57,520,1932,1281,464,594,776,1023,1394,1602,1792,1888,2075,0,0,0,0,2048,10,49,61,80,404,2019-11-29T15:51:14,"{""type"":""Point"",""coordinates"":[-72.17220166,42.53664271]}"
2_2,57,558,1829,1218,558,632,755,1022,1400,1566,1856,1878,2208,0,0,0,0,2048,10,58,65,77,404,2019-11-29T15:51:14,"{""type"":""Point"",""coordinates"":[-72.17294426,42.53548522]}"
2_3,57,526,1793,1167,565,656,773,1034,1392,1549,1959,2017,2226,0,0,0,0,2048,10,59,67,78,404,2019-11-29T15:51:14,"{""type"":""Point"",""coordinates"":[-72.17350955,42.53454769]}"
2_4,57,540,1895,1268,509,604,749,1060,1425,1592,1869,1942,2307,0,0,0,0,2048,7,53,62,76,404,2019-11-29T15:51:14,"{""type"":""Point"",""coordinates"":[-72.17384774,42.53400681]}"
2_5,57,497,1731,1165,501,577,669,932,1369,1530,1806,1826,2191,0,0,0,0,2048,7,52,59,68,404,2019-11-29T15:51:14,"{""type"":""Point"",""coordinates"":[-72.17199578,42.53726421]}"
2_6,57,516,1805,1207,476,598,726,987,1296,1422,1699,1766,2056,0,0,0,0,2048,10,49,61,74,404,2019-11-29T15:51:14,"{""type"":""Point"",""coordinates"":[-72.17274081,42.53651678]}"
2_7,57,541,1655,1141,481,554,666,898,1258,1441,1641,1739,2053,0,0,0,0,2048,10,48,57,69,404,2019-11-29T15:51:14,"{""type"":""Point"",""coordinates"":[-72.17355408,42.53564725]}"
2_8,57,582,1920,1303,553,661,806,1070,1319,1498,1748,1846,2274,0,0,0,0,2048,10,56,69,83,404,2019-11-29T15:51:14,"{""type"":""Point"",""coordinates"":[-72.17428897,42.53489182]}"
2_9,57,541,1798,1186,500,611,757,1038,1372,1583,1814,1806,2347,0,0,0,0,2048,10,52,63,77,404,2019-11-29T15:51:14,"{""type"":""Point"",""coordinates"":[-72.17484656,42.53435635]}"
2_10,57,497,1731,1165,501,577,669,932,1369,1530,1806,1826,2191,0,0,0,0,2048,7,52,59,68,404,2019-11-29T15:51:14,"{""type"":""Point"",""coordinates"":[-72.17215007,42.53732217]}"
2_11,57,516,1728,1185,510,619,687,907,1419,1632,2021,1989,2056,0,0,0,0,2048,10,53,63,71,404,2019-11-29T15:51:14,"{""type"":""Point"",""coordinates"":[-72.17311207,42.53663424]}"
2_12,57,545,1465,1030,475,544,569,791,1183,1379,1553,1588,2039,0,0,0,0,2048,10,49,57,59,404,2019-11-29T15:51:14,"{""type"":""Point"",""coordinates"":[-72.17376999,42.53619407]}"
2_13,57,575,1694,1176,502,571,683,895,1129,1333,1481,1585,2052,0,0,0,0,2048,10,52,59,71,404,2019-11-29T15:51:14,"{""type"":""Point"",""coordinates"":[-72.17443905,42.53573871]}"
2_14,57,558,1726,1154,511,604,732,1019,1389,1579,1782,1928,2199,0,0,0,0,2048,10,51,62,74,404,2019-11-29T15:51:14,"{""type"":""Point"",""coordinates"":[-72.17581962,42.53481354]}"
2_15,57,497,1622,1014,407,557,636,976,1613,1696,2083,2077,2191,0,0,0,0,2048,10,41,57,66,404,2019-11-29T15:51:14,"{""type"":""Point"",""coordinates"":[-72.17252866,42.53727737]}"
2_16,57,502,1665,1109,471,581,669,910,1252,1445,1616,1659,2113,0,0,0,0,2048,10,49,60,68,404,2019-11-29T15:51:14,"{""type"":""Point"",""coordinates"":[-72.17333147,42.53687172]}"
2_17,57,545,1668,1178,527,577,699,910,1281,1483,1727,1699,2039,0,0,0,0,2048,10,55,59,71,404,2019-11-29T15:51:14,"{""type"":""Point"",""coordinates"":[-72.1738539,42.53665254]}"
2_18,57,613,1794,1251,525,642,799,1039,1333,1464,1630,1741,2208,0,0,0,0,2048,10,54,65,82,404,2019-11-29T15:51:14,"{""type"":""Point"",""coordinates"":[-72.17524182,42.53602925]}"
2_19,57,599,2032,1377,566,673,856,1169,1441,1634,1864,1993,2342,0,0,0,0,2048,10,59,69,88,404,2019-11-29T15:51:14,"{""type"":""Point"",""coordinates"":[-72.17602022,42.53570034]}"
2_20,57,488,1586,1030,434,549,576,858,1375,1529,1747,1874,2162,0,0,0,0,2048,10,44,56,58,404,2019-11-29T15:51:14,"{""type"":""Point"",""coordinates"":[-72.1718475,42.53772139]}"
2_21,57,501,1410,927,420,503,560,806,1271,1455,1648,1654,2023,0,0,0,0,2048,10,41,52,58,404,2019-11-29T15:51:14,"{""type"":""Point"",""coordinates"":[-72.17353167,42.53785563]}"
2_22,57,536,1466,962,475,544,579,811,1305,1502,1712,1781,1972,0,0,0,0,2048,10,48,56,60,404,2019-11-29T15:51:14,"{""type"":""Point"",""coordinates"":[-72.17424659,42.53791698]}"
2_23,57,520,1455,942,481,588,627,882,1303,1495,1617,1724,1994,0,0,0,0,2048,10,49,60,65,404,2019-11-29T15:51:14,"{""type"":""Point"",""coordinates"":[-72.1753998,42.53799538]}"
2_24,57,458,1124,692,459,535,493,793,1539,1660,1786,1867,2396,0,0,0,0,2048,10,47,55,51,404,2019-11-29T15:51:14,"{""type"":""Point"",""coordinates"":[-72.17725783,42.53817231]}"
2_25,57,462,1451,974,402,492,528,774,1309,1529,1619,1727,2181,0,0,0,0,2048,7,41,51,55,404,2019-11-29T15:51:14,"{""type"":""Point"",""coordinates"":[-72.17245577,42.53793523]}"
2_26,57,501,1248,781,392,541,524,817,1540,1673,1912,1870,2023,0,0,0,0,2048,10,40,56,55,404,2019-11-29T15:51:14,"{""type"":""Point"",""coordinates"":[-72.17339952,42.53816458]}"
2_27,57,536,1354,922,513,580,572,829,1371,1583,1766,1809,1841,0,0,0,0,2048,10,53,59,58,404,2019-11-29T15:51:14,"{""type"":""Point"",""coordinates"":[-72.17451928,42.53842324]}"
2_28,57,496,1418,901,505,620,607,908,1480,1652,1994,1865,2076,0,0,0,0,2048,10,50,63,62,404,2019-11-29T15:51:14,"{""type"":""Point"",""coordinates"":[-72.17598849,42.53879665]}"
2_29,57,503,1291,814,430,601,544,850,1549,1841,2140,2026,2211,0,0,0,0,2048,10,45,62,56,404,2019-11-29T15:51:14,"{""type"":""Point"",""coordinates"":[-72.17676584,42.53897192]}"
2_30,57,462,1318,871,379,497,486,719,1242,1466,1552,1611,2181,0,0,0,0,2048,7,39,51,50,404,2019-11-29T15:51:14,"{""type"":""Point"",""coordinates"":[-72.17256484,42.53813773]}"
2_31,57,441,1154,711,355,506,439,835,1739,1885,2095,2182,2019,0,0,0,0,2048,10,36,52,46,404,2019-11-29T15:51:14,"{""type"":""Point"",""coordinates"":[-72.17322802,42.53841011]}"
2_32,57,536,1101,805,435,510,532,732,926,996,1073,1170,1841,0,0,0,0,2048,10,46,53,54,404,2019-11-29T15:51:14,"{""type"":""Point"",""coordinates"":[-72.1742803,42.53885443]}"
2_33,57,544,1234,885,529,567,574,760,1059,1152,1316,1327,1915,0,0,0,0,2048,10,53,59,59,404,2019-11-29T15:51:14,"{""type"":""Point"",""coordinates"":[-72.17495193,42.539127]}"
2_34,57,480,1314,828,467,581,540,813,1493,1676,1899,1880,2203,0,0,0,0,2048,10,48,59,55,404,2019-11-29T15:51:14,"{""type"":""Point"",""coordinates"":[-72.17636887,42.53972391]}"
2_35,57,462,1462,954,386,574,499,876,1603,1884,2187,2130,2181,0,0,0,0,2048,10,40,59,51,404,2019-11-29T15:51:14,"{""type"":""Point"",""coordinates"":[-72.17198852,42.53799862]}"
2_36,57,441,1161,722,358,476,428,709,1529,1687,1719,1832,2019,0,0,0,0,2048,10,37,50,44,404,2019-11-29T15:51:14,"{""type"":""Point"",""coordinates"":[-72.17284229,42.53853796]}"
2_37,57,573,1773,1267,639,739,888,1092,1353,1471,1686,1704,1987,0,0,0,0,2048,10,65,75,90,404,2019-11-29T15:51:14,"{""type"":""Point"",""coordinates"":[-72.17410794,42.539306]}"
2_38,57,578,1764,1181,565,727,792,1136,1452,1666,1936,1937,2240,0,0,0,0,2048,10,58,74,81,404,2019-11-29T15:51:14,"{""type"":""Point"",""coordinates"":[-72.17483018,42.53976714]}"
2_39,57,524,1562,937,572,674,599,964,1814,2082,2329,2355,2616,0,0,0,0,2048,10,59,69,62,404,2019-11-29T15:51:14,"{""type"":""Point"",""coordinates"":[-72.17593787,42.54048131]}"
