system:index,AOT,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,MSK_CLDPRB,MSK_SNWPRB,QA10,QA20,QA60,SCL,TCI_B,TCI_G,TCI_R,WVP,date,.geo
2_0,63,156,1740,696,221,612,186,1067,3733,4401,4528,4596,4418,0,0,0,0,0,4,23,63,20,1435,2019-06-07T15:51:23,"{""type"":""Point"",""coordinates"":[-72.17176138,42.53735899]}"
2_1,63,155,1646,653,207,505,169,899,3451,4325,4305,4447,4434,0,0,0,0,0,4,22,52,18,1350,2019-06-07T15:51:23,"{""type"":""Point"",""coordinates"":[-72.17220166,42.53664271]}"
2_2,63,157,1700,686,216,531,179,956,3452,4232,4356,4391,4522,0,0,0,0,0,4,24,55,19,1350,2019-06-07T15:51:23,"{""type"":""Point"",""coordinates"":[-72.17294426,42.53548522]}"
2_3,63,160,1877,788,208,533,172,982,3670,4426,4591,4664,4785,0,0,0,0,0,4,21,54,18,1395,2019-06-07T15:51:23,"{""type"":""Point"",""coordinates"":[-72.17350955,42.53454769]}"
2_4,63,153,1821,730,211,575,170,1021,3744,4643,4746,4887,4724,0,0,0,0,0,4,23,58,17,1406,2019-06-07T15:51:23,"{""type"":""Point"",""coordinates"":[-72.17384774,42.53400681]}"
2_5,63,176,1705,667,204,551,183,1007,3657,4340,4407,4496,3913,0,0,0,0,0,4,21,56,18,1435,2019-06-07T15:51:23,"{""type"":""Point"",""coordinates"":[-72.17199578,42.53726421]}"
2_6,63,158,1670,658,205,523,169,970,3570,4245,4362,4444,4473,0,0,0,0,0,4,22,53,18,1400,2019-06-07T15:51:23,"{""type"":""Point"",""coordinates"":[-72.17274081,42.53651678]}"
2_7,63,152,1591,619,207,514,160,956,3505,4218,4317,4353,4322,0,0,0,0,0,4,22,53,17,1361,2019-06-07T15:51:23,"{""type"":""Point"",""coordinates"":[-72.17355408,42.53564725]}"
2_8,63,148,1707,686,200,522,175,940,3514,4253,4350,4372,4504,0,0,0,0,0,4,21,54,19,1352,2019-06-07T15:51:23,"{""type"":""Point"",""coordinates"":[-72.17428897,42.53489182]}"
2_9,63,145,1643,650,195,527,162,936,3459,4220,4341,4388,4600,0,0,0,0,0,4,21,55,17,1384,2019-06-07T15:51:23,"{""type"":""Point"",""coordinates"":[-72.17484656,42.53435635]}"
2_10,63,176,1705,667,204,551,183,1007,3657,4340,4407,4496,3913,0,0,0,0,0,4,21,56,18,1435,2019-06-07T15:51:23,"{""type"":""Point"",""coordinates"":[-72.17215007,42.53732217]}"
2_11,63,158,1649,659,217,531,185,958,3460,4173,4180,4374,4473,0,0,0,0,0,4,22,54,20,1351,2019-06-07T15:51:23,"{""type"":""Point"",""coordinates"":[-72.17311207,42.53663424]}"
2_12,63,164,1731,724,210,554,182,1003,3541,4226,4373,4416,4479,0,0,0,0,0,4,22,57,19,1350,2019-06-07T15:51:23,"{""type"":""Point"",""coordinates"":[-72.17376999,42.53619407]}"
2_13,63,156,1612,634,188,486,167,875,3380,4094,4151,4211,4060,0,0,0,0,0,4,21,50,18,1360,2019-06-07T15:51:23,"{""type"":""Point"",""coordinates"":[-72.17443905,42.53573871]}"
2_14,63,165,1721,680,215,550,176,996,3642,4471,4649,4668,4427,0,0,0,0,0,4,23,56,18,1450,2019-06-07T15:51:23,"{""type"":""Point"",""coordinates"":[-72.17581962,42.53481354]}"
2_15,63,176,1573,665,228,506,198,881,2937,3561,3634,3802,3913,0,0,0,0,0,4,23,51,20,1301,2019-06-07T15:51:23,"{""type"":""Point"",""coordinates"":[-72.17252866,42.53727737]}"
2_16,63,164,1634,647,208,550,178,1001,3501,4155,4262,4347,4404,0,0,0,0,0,4,22,55,17,1373,2019-06-07T15:51:23,"{""type"":""Point"",""coordinates"":[-72.17333147,42.53687172]}"
2_17,63,164,1707,669,192,490,163,885,3540,4384,4409,4532,4479,0,0,0,0,0,4,21,50,17,1398,2019-06-07T15:51:23,"{""type"":""Point"",""coordinates"":[-72.1738539,42.53665254]}"
2_18,63,160,1822,777,222,569,188,963,3259,3994,4249,4246,4195,0,0,0,0,0,4,22,58,19,1344,2019-06-07T15:51:23,"{""type"":""Point"",""coordinates"":[-72.17524182,42.53602925]}"
2_19,63,165,1759,730,220,540,198,992,3444,4203,4221,4440,4268,0,0,0,0,0,4,22,55,20,1357,2019-06-07T15:51:23,"{""type"":""Point"",""coordinates"":[-72.17602022,42.53570034]}"
2_20,63,156,1636,674,210,546,177,970,3297,3827,3838,4000,4418,0,0,0,0,0,4,22,56,18,1322,2019-06-07T15:51:23,"{""type"":""Point"",""coordinates"":[-72.1718475,42.53772139]}"
2_21,63,170,1648,706,226,503,214,913,2969,3417,3629,3673,4041,0,0,0,0,0,4,23,51,23,1320,2019-06-07T15:51:23,"{""type"":""Point"",""coordinates"":[-72.17353167,42.53785563]}"
2_22,63,161,1592,625,201,484,170,929,3392,4064,4169,4227,4314,0,0,0,0,0,4,20,50,18,1424,2019-06-07T15:51:23,"{""type"":""Point"",""coordinates"":[-72.17424659,42.53791698]}"
2_23,63,159,1548,623,200,470,173,882,3145,3899,4031,4031,4105,0,0,0,0,0,4,21,48,18,1284,2019-06-07T15:51:23,"{""type"":""Point"",""coordinates"":[-72.1753998,42.53799538]}"
