system:index,AOT,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,MSK_CLDPRB,MSK_SNWPRB,QA10,QA20,QA60,SCL,TCI_B,TCI_G,TCI_R,WVP,date,.geo
2_0,91,61,1650,702,179,559,491,1188,2362,2787,3134,3133,3148,0,0,0,0,0,4,20,57,51,806,2019-10-15T15:51:16,"{""type"":""Point"",""coordinates"":[-72.17176138,42.53735899]}"
2_1,91,62,1675,724,146,439,419,1151,2294,2755,2935,2994,3203,0,0,0,0,0,4,16,45,43,799,2019-10-15T15:51:16,"{""type"":""Point"",""coordinates"":[-72.17220166,42.53664271]}"
2_2,91,68,1735,752,154,489,406,1212,2573,2924,3275,3399,3532,0,0,0,0,0,4,16,51,42,808,2019-10-15T15:51:16,"{""type"":""Point"",""coordinates"":[-72.17294426,42.53548522]}"
2_3,91,71,1711,766,132,473,416,1215,2244,2770,2880,3302,3393,0,0,0,0,0,4,14,49,43,783,2019-10-15T15:51:16,"{""type"":""Point"",""coordinates"":[-72.17350955,42.53454769]}"
2_4,91,64,1726,770,159,549,510,1238,2376,2798,3246,3191,3281,0,0,0,0,0,4,17,56,52,786,2019-10-15T15:51:16,"{""type"":""Point"",""coordinates"":[-72.17384774,42.53400681]}"
2_5,91,65,1723,736,170,528,421,1247,2468,2827,3070,3251,2886,0,0,0,0,0,4,18,54,43,861,2019-10-15T15:51:16,"{""type"":""Point"",""coordinates"":[-72.17199578,42.53726421]}"
2_6,91,69,1773,768,162,471,452,1281,2574,2954,3264,3363,3157,0,0,0,0,0,4,16,48,46,858,2019-10-15T15:51:16,"{""type"":""Point"",""coordinates"":[-72.17274081,42.53651678]}"
2_7,91,64,1591,680,146,474,328,1046,2543,2992,3315,3347,3184,0,0,0,0,0,4,16,49,34,816,2019-10-15T15:51:16,"{""type"":""Point"",""coordinates"":[-72.17355408,42.53564725]}"
2_8,91,60,1755,780,176,501,474,1198,2491,2849,3167,3291,3450,0,0,0,0,0,4,18,51,49,805,2019-10-15T15:51:16,"{""type"":""Point"",""coordinates"":[-72.17428897,42.53489182]}"
2_9,91,64,1610,675,152,519,353,1116,2631,3019,3402,3470,3428,0,0,0,0,0,4,15,54,37,830,2019-10-15T15:51:16,"{""type"":""Point"",""coordinates"":[-72.17484656,42.53435635]}"
2_10,91,65,1723,736,170,528,421,1247,2468,2827,3070,3251,2886,0,0,0,0,0,4,18,54,43,861,2019-10-15T15:51:16,"{""type"":""Point"",""coordinates"":[-72.17215007,42.53732217]}"
2_11,91,69,1625,698,162,481,364,1105,2469,2862,3215,3261,3157,0,0,0,0,0,4,17,49,37,817,2019-10-15T15:51:16,"{""type"":""Point"",""coordinates"":[-72.17311207,42.53663424]}"
2_12,91,69,1604,720,145,423,506,1245,2093,2556,2676,2933,3182,0,0,0,0,0,4,15,43,53,727,2019-10-15T15:51:16,"{""type"":""Point"",""coordinates"":[-72.17376999,42.53619407]}"
2_13,91,67,1604,668,156,509,348,1129,2649,2974,3420,3364,2784,0,0,0,0,0,4,17,52,35,853,2019-10-15T15:51:16,"{""type"":""Point"",""coordinates"":[-72.17443905,42.53573871]}"
2_14,91,65,1714,759,150,528,488,1297,2472,2907,3267,3319,3231,0,0,0,0,0,4,15,54,50,791,2019-10-15T15:51:16,"{""type"":""Point"",""coordinates"":[-72.17581962,42.53481354]}"
2_15,91,65,1509,649,166,501,355,1028,2300,2743,3149,3069,2886,0,0,0,0,0,4,17,51,37,832,2019-10-15T15:51:16,"{""type"":""Point"",""coordinates"":[-72.17252866,42.53727737]}"
2_16,91,71,1611,698,161,466,413,1130,2368,2868,3111,3271,3322,0,0,0,0,0,4,17,48,42,792,2019-10-15T15:51:16,"{""type"":""Point"",""coordinates"":[-72.17333147,42.53687172]}"
2_17,91,69,1652,702,140,446,364,1063,2426,2712,3031,3134,3182,0,0,0,0,0,4,16,46,37,807,2019-10-15T15:51:16,"{""type"":""Point"",""coordinates"":[-72.1738539,42.53665254]}"
