system:index,AOT,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,MSK_CLDPRB,MSK_SNWPRB,QA10,QA20,QA60,SCL,TCI_B,TCI_G,TCI_R,WVP,date,.geo
2_0,120,233,1808,691,216,491,225,849,3458,4325,4371,4545,4391,0,0,0,0,0,4,22,50,23,1426,2019-08-01T15:51:19,"{""type"":""Point"",""coordinates"":[-72.17176138,42.53735899]}"
2_1,120,230,1771,676,211,420,210,742,3223,4129,4249,4381,4402,0,0,0,0,0,4,22,43,22,1378,2019-08-01T15:51:19,"{""type"":""Point"",""coordinates"":[-72.17220166,42.53664271]}"
2_2,120,240,1803,678,210,429,207,752,3261,4053,4233,4425,4613,0,0,0,0,0,4,22,44,22,1334,2019-08-01T15:51:19,"{""type"":""Point"",""coordinates"":[-72.17294426,42.53548522]}"
2_3,120,232,1873,745,221,435,209,790,3382,4224,4361,4590,4744,0,0,0,0,0,4,24,45,22,1379,2019-08-01T15:51:19,"{""type"":""Point"",""coordinates"":[-72.17350955,42.53454769]}"
2_4,120,231,1894,751,212,472,201,828,3529,4426,4694,4604,4628,0,0,0,0,0,4,22,49,22,1356,2019-08-01T15:51:19,"{""type"":""Point"",""coordinates"":[-72.17384774,42.53400681]}"
2_5,120,246,1792,697,222,467,223,819,3359,4166,4270,4446,4109,0,0,0,0,0,4,23,48,23,1466,2019-08-01T15:51:19,"{""type"":""Point"",""coordinates"":[-72.17199578,42.53726421]}"
2_6,120,235,1773,679,212,445,207,774,3328,4132,4324,4386,4363,0,0,0,0,0,4,22,46,21,1392,2019-08-01T15:51:19,"{""type"":""Point"",""coordinates"":[-72.17274081,42.53651678]}"
2_7,120,235,1722,664,218,456,204,765,3336,4167,4360,4469,4433,0,0,0,0,0,4,23,47,21,1361,2019-08-01T15:51:19,"{""type"":""Point"",""coordinates"":[-72.17355408,42.53564725]}"
2_8,120,236,1770,698,219,424,211,727,3164,3974,4109,4318,4553,0,0,0,0,0,4,23,44,22,1330,2019-08-01T15:51:19,"{""type"":""Point"",""coordinates"":[-72.17428897,42.53489182]}"
2_9,120,231,1792,680,212,443,206,772,3358,4309,4452,4625,4654,0,0,0,0,0,4,22,46,22,1336,2019-08-01T15:51:19,"{""type"":""Point"",""coordinates"":[-72.17484656,42.53435635]}"
2_10,120,246,1792,697,222,467,223,819,3359,4166,4270,4446,4109,0,0,0,0,0,4,23,48,23,1466,2019-08-01T15:51:19,"{""type"":""Point"",""coordinates"":[-72.17215007,42.53732217]}"
2_11,120,235,1707,649,221,428,211,742,3118,4009,4057,4275,4363,0,0,0,0,0,4,24,44,21,1319,2019-08-01T15:51:19,"{""type"":""Point"",""coordinates"":[-72.17311207,42.53663424]}"
2_12,120,235,1756,674,205,422,199,747,3189,3935,4024,4212,4418,0,0,0,0,0,4,21,43,21,1332,2019-08-01T15:51:19,"{""type"":""Point"",""coordinates"":[-72.17376999,42.53619407]}"
2_13,120,230,1717,648,222,434,209,747,3308,4152,4254,4441,4075,0,0,0,0,0,4,23,45,23,1374,2019-08-01T15:51:19,"{""type"":""Point"",""coordinates"":[-72.17443905,42.53573871]}"
2_14,120,234,1801,697,216,444,209,773,3426,4400,4491,4626,4359,0,0,0,0,0,4,22,46,22,1319,2019-08-01T15:51:19,"{""type"":""Point"",""coordinates"":[-72.17581962,42.53481354]}"
2_15,120,246,1603,625,225,475,225,801,3107,3829,3894,4067,4109,0,0,0,0,0,4,24,48,23,1418,2019-08-01T15:51:19,"{""type"":""Point"",""coordinates"":[-72.17252866,42.53727737]}"
2_16,120,237,1703,654,218,471,221,789,3233,4040,4137,4296,4459,0,0,0,0,0,4,22,48,23,1346,2019-08-01T15:51:19,"{""type"":""Point"",""coordinates"":[-72.17333147,42.53687172]}"
2_17,120,235,1788,691,214,410,203,726,3220,4103,4290,4376,4418,0,0,0,0,0,4,22,42,21,1359,2019-08-01T15:51:19,"{""type"":""Point"",""coordinates"":[-72.1738539,42.53665254]}"
2_18,120,232,1728,699,201,417,190,741,3002,3757,3923,4058,4045,0,0,0,0,0,4,22,43,20,1292,2019-08-01T15:51:19,"{""type"":""Point"",""coordinates"":[-72.17524182,42.53602925]}"
2_19,120,236,1751,697,231,441,231,773,3097,3872,3926,4066,4172,0,0,0,0,0,4,23,45,24,1282,2019-08-01T15:51:19,"{""type"":""Point"",""coordinates"":[-72.17602022,42.53570034]}"
2_20,120,233,1740,668,211,447,207,787,2905,3573,3703,3946,4391,0,0,0,0,0,4,23,47,22,1382,2019-08-01T15:51:19,"{""type"":""Point"",""coordinates"":[-72.1718475,42.53772139]}"
2_21,120,238,1749,731,236,434,259,733,2849,3487,3558,3839,4139,0,0,0,0,0,4,25,44,26,1348,2019-08-01T15:51:19,"{""type"":""Point"",""coordinates"":[-72.17353167,42.53785563]}"
2_22,120,233,1690,637,213,419,214,744,3243,4068,4264,4339,4353,0,0,0,0,0,4,23,43,22,1388,2019-08-01T15:51:19,"{""type"":""Point"",""coordinates"":[-72.17424659,42.53791698]}"
2_23,120,239,1670,625,209,411,208,713,3149,3947,4077,4169,4195,0,0,0,0,0,4,22,43,22,1306,2019-08-01T15:51:19,"{""type"":""Point"",""coordinates"":[-72.1753998,42.53799538]}"
2_24,120,250,1462,574,238,460,230,769,2840,3568,3685,3820,3655,0,0,0,0,0,4,25,47,23,1279,2019-08-01T15:51:19,"{""type"":""Point"",""coordinates"":[-72.17725783,42.53817231]}"
2_25,120,255,1667,763,250,409,276,720,2362,3002,3088,3199,3465,0,0,0,0,0,4,26,42,29,1091,2019-08-01T15:51:19,"{""type"":""Point"",""coordinates"":[-72.17245577,42.53793523]}"
2_26,120,238,1628,651,214,431,213,769,3158,3864,4056,3987,4139,0,0,0,0,0,4,22,45,22,1429,2019-08-01T15:51:19,"{""type"":""Point"",""coordinates"":[-72.17339952,42.53816458]}"
2_27,120,254,1718,667,207,449,216,797,3308,4164,4260,4511,4009,0,0,0,0,0,4,22,46,23,1440,2019-08-01T15:51:19,"{""type"":""Point"",""coordinates"":[-72.17451928,42.53842324]}"
2_28,120,248,1638,635,229,464,216,758,3114,3919,3891,4122,4422,0,0,0,0,0,4,24,48,23,1317,2019-08-01T15:51:19,"{""type"":""Point"",""coordinates"":[-72.17598849,42.53879665]}"
2_29,120,243,1648,620,253,487,225,824,3157,3862,3974,4134,4278,0,0,0,0,0,4,27,50,24,1358,2019-08-01T15:51:19,"{""type"":""Point"",""coordinates"":[-72.17676584,42.53897192]}"
2_30,120,255,1685,798,269,427,307,726,2387,2864,2952,3136,3465,0,0,0,0,0,4,29,44,31,1097,2019-08-01T15:51:19,"{""type"":""Point"",""coordinates"":[-72.17256484,42.53813773]}"
2_31,120,242,1549,622,225,478,216,839,2951,3579,3617,3855,3640,0,0,0,0,0,4,23,49,23,1443,2019-08-01T15:51:19,"{""type"":""Point"",""coordinates"":[-72.17322802,42.53841011]}"
2_32,120,254,1576,679,227,497,257,950,2709,3171,3141,3370,4009,0,0,0,0,0,4,24,51,27,1286,2019-08-01T15:51:19,"{""type"":""Point"",""coordinates"":[-72.1742803,42.53885443]}"
2_33,120,259,1771,736,242,502,241,919,3105,3727,3875,4073,4010,0,0,0,0,0,4,26,52,25,1333,2019-08-01T15:51:19,"{""type"":""Point"",""coordinates"":[-72.17495193,42.539127]}"
2_34,120,242,1760,692,225,441,221,765,3175,3977,4186,4301,4381,0,0,0,0,0,4,24,46,23,1351,2019-08-01T15:51:19,"{""type"":""Point"",""coordinates"":[-72.17636887,42.53972391]}"
2_35,120,255,1618,633,242,484,221,834,2837,3479,3722,3896,3465,0,0,0,0,0,4,26,50,23,1342,2019-08-01T15:51:19,"{""type"":""Point"",""coordinates"":[-72.17198852,42.53799862]}"
2_36,120,242,1607,644,215,474,224,793,2934,3571,3780,3835,3640,0,0,0,0,0,4,22,49,23,1460,2019-08-01T15:51:19,"{""type"":""Point"",""coordinates"":[-72.17284229,42.53853796]}"
2_37,120,275,1722,804,295,602,359,1136,2684,3077,3226,3323,3475,0,0,0,0,0,4,30,62,37,1259,2019-08-01T15:51:19,"{""type"":""Point"",""coordinates"":[-72.17410794,42.539306]}"
2_38,120,262,1736,735,246,579,262,1069,3267,3842,4021,4150,3926,0,0,0,0,0,4,25,60,27,1411,2019-08-01T15:51:19,"{""type"":""Point"",""coordinates"":[-72.17483018,42.53976714]}"
2_39,120,233,1729,684,217,478,227,825,3229,3960,4066,4239,4398,0,0,0,0,0,4,23,50,24,1379,2019-08-01T15:51:19,"{""type"":""Point"",""coordinates"":[-72.17593787,42.54048131]}"
