system:index,AOT,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,MSK_CLDPRB,MSK_SNWPRB,QA10,QA20,QA60,SCL,TCI_B,TCI_G,TCI_R,WVP,date,.geo
2_0,80,678,1801,865,663,949,601,1345,3798,4510,4706,4631,5008,0,0,0,0,2048,10,68,97,61,854,2019-06-12T15:51:18,"{""type"":""Point"",""coordinates"":[-72.17176138,42.53735899]}"
2_1,80,644,1721,830,638,863,573,1218,3522,4329,4547,4548,5043,0,0,0,0,2048,10,67,88,58,854,2019-06-12T15:51:18,"{""type"":""Point"",""coordinates"":[-72.17220166,42.53664271]}"
2_2,80,631,1782,847,610,863,572,1260,3647,4398,4559,4594,5100,0,0,0,0,2048,10,63,88,58,854,2019-06-12T15:51:18,"{""type"":""Point"",""coordinates"":[-72.17294426,42.53548522]}"
2_3,80,616,1867,901,590,869,552,1258,3804,4569,4737,4821,5180,0,0,0,0,2048,10,61,89,57,854,2019-06-12T15:51:18,"{""type"":""Point"",""coordinates"":[-72.17350955,42.53454769]}"
2_4,80,618,1866,880,587,873,542,1273,3855,4614,4913,4943,5174,0,0,0,0,2048,10,61,89,56,854,2019-06-12T15:51:18,"{""type"":""Point"",""coordinates"":[-72.17384774,42.53400681]}"
2_5,80,713,1788,870,680,936,609,1322,3771,4440,4672,4640,4840,0,0,0,0,2048,10,70,95,62,854,2019-06-12T15:51:18,"{""type"":""Point"",""coordinates"":[-72.17199578,42.53726421]}"
2_6,80,680,1766,871,659,917,608,1283,3712,4402,4607,4633,5052,0,0,0,0,2048,10,66,93,62,854,2019-06-12T15:51:18,"{""type"":""Point"",""coordinates"":[-72.17274081,42.53651678]}"
2_7,80,672,1730,839,663,909,594,1268,3701,4403,4582,4619,4983,0,0,0,0,2048,10,68,93,61,854,2019-06-12T15:51:18,"{""type"":""Point"",""coordinates"":[-72.17355408,42.53564725]}"
2_8,80,656,1788,869,640,893,602,1254,3621,4309,4464,4553,5088,0,0,0,0,2048,10,66,91,62,854,2019-06-12T15:51:18,"{""type"":""Point"",""coordinates"":[-72.17428897,42.53489182]}"
2_9,80,634,1769,864,640,900,576,1260,3721,4489,4692,4735,5126,0,0,0,0,2048,10,66,91,59,854,2019-06-12T15:51:18,"{""type"":""Point"",""coordinates"":[-72.17484656,42.53435635]}"
