system:index,AOT,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,MSK_CLDPRB,MSK_SNWPRB,QA10,QA20,QA60,SCL,TCI_B,TCI_G,TCI_R,WVP,date,.geo
2_0,143,830,1773,788,546,706,459,976,3024,3845,3890,4091,4292,0,0,0,0,0,10,56,72,47,2485,2019-08-06T15:51:22,"{""type"":""Point"",""coordinates"":[-72.17176138,42.53735899]}"
2_1,143,548,1824,870,762,909,726,1155,3021,3850,3808,3999,3993,0,0,0,0,0,10,78,93,74,2485,2019-08-06T15:51:22,"{""type"":""Point"",""coordinates"":[-72.17220166,42.53664271]}"
2_2,142,383,1651,724,457,552,363,823,2875,3659,3678,3908,3939,0,0,0,0,0,10,47,57,37,2485,2019-08-06T15:51:22,"{""type"":""Point"",""coordinates"":[-72.17294426,42.53548522]}"
2_3,142,337,1668,713,357,528,299,826,2922,3710,3720,4000,3902,0,0,0,0,0,10,37,55,31,2485,2019-08-06T15:51:22,"{""type"":""Point"",""coordinates"":[-72.17350955,42.53454769]}"
2_4,142,327,1609,678,351,514,301,770,2877,3782,3737,3971,3918,0,0,0,0,0,10,36,53,31,2485,2019-08-06T15:51:22,"{""type"":""Point"",""coordinates"":[-72.17384774,42.53400681]}"
2_5,143,576,1766,797,583,723,463,950,3037,3811,3803,4082,3956,0,0,0,0,0,10,60,74,47,2485,2019-08-06T15:51:22,"{""type"":""Point"",""coordinates"":[-72.17199578,42.53726421]}"
2_6,143,424,1769,795,628,766,543,1010,3029,3851,3854,4058,3875,0,0,0,0,0,10,65,79,56,2485,2019-08-06T15:51:22,"{""type"":""Point"",""coordinates"":[-72.17274081,42.53651678]}"
2_7,142,329,1572,659,366,532,319,797,2882,3708,3750,3926,3795,0,0,0,0,0,10,38,55,33,2485,2019-08-06T15:51:22,"{""type"":""Point"",""coordinates"":[-72.17355408,42.53564725]}"
2_8,142,314,1551,686,383,505,316,776,2670,3505,3469,3745,3844,0,0,0,0,0,10,40,52,32,2485,2019-08-06T15:51:22,"{""type"":""Point"",""coordinates"":[-72.17428897,42.53489182]}"
2_9,142,319,1518,640,333,484,293,747,2804,3684,3703,3915,3905,0,0,0,0,0,10,35,50,30,2485,2019-08-06T15:51:22,"{""type"":""Point"",""coordinates"":[-72.17484656,42.53435635]}"
2_10,143,576,1766,797,583,723,463,950,3037,3811,3803,4082,3956,0,0,0,0,0,10,60,74,47,2485,2019-08-06T15:51:22,"{""type"":""Point"",""coordinates"":[-72.17215007,42.53732217]}"
2_11,143,424,1608,681,384,526,335,802,2854,3668,3674,3859,3875,0,0,0,0,0,10,40,54,35,2485,2019-08-06T15:51:22,"{""type"":""Point"",""coordinates"":[-72.17311207,42.53663424]}"
2_12,142,340,1574,686,365,514,315,781,2725,3447,3409,3678,3878,0,0,0,0,0,10,38,53,33,2485,2019-08-06T15:51:22,"{""type"":""Point"",""coordinates"":[-72.17376999,42.53619407]}"
2_13,142,320,1550,651,342,501,305,750,2890,3694,3698,3943,3575,0,0,0,0,0,4,36,52,31,2485,2019-08-06T15:51:22,"{""type"":""Point"",""coordinates"":[-72.17443905,42.53573871]}"
2_14,142,326,1612,667,336,490,298,761,2981,3792,3822,3996,3862,0,0,0,0,0,4,35,50,31,2536,2019-08-06T15:51:22,"{""type"":""Point"",""coordinates"":[-72.17581962,42.53481354]}"
2_15,143,576,1687,765,791,856,553,1014,2955,3655,3792,3847,3956,0,0,0,0,0,10,81,88,57,2485,2019-08-06T15:51:22,"{""type"":""Point"",""coordinates"":[-72.17252866,42.53727737]}"
2_16,143,455,1611,689,392,552,335,849,2870,3694,3654,3872,3924,0,0,0,0,0,10,40,57,35,2485,2019-08-06T15:51:22,"{""type"":""Point"",""coordinates"":[-72.17333147,42.53687172]}"
