system:index,AOT,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,MSK_CLDPRB,MSK_SNWPRB,QA10,QA20,QA60,SCL,TCI_B,TCI_G,TCI_R,WVP,date,.geo
2_0,126,1058,2471,1492,1264,1440,1213,1709,3606,4245,4322,4456,4605,0,0,0,0,0,5,130,147,123,1551,2019-06-22T15:51:19,"{""type"":""Point"",""coordinates"":[-72.17176138,42.53735899]}"
2_1,126,399,1898,782,409,624,384,936,3447,4347,4520,4708,4776,0,0,0,0,0,4,43,64,40,1631,2019-06-22T15:51:19,"{""type"":""Point"",""coordinates"":[-72.17220166,42.53664271]}"
2_2,125,424,1328,666,324,486,294,755,2877,3699,2438,4142,3667,0,0,0,0,0,4,34,50,31,1776,2019-06-22T15:51:19,"{""type"":""Point"",""coordinates"":[-72.17294426,42.53548522]}"
2_3,125,445,1068,786,407,598,531,866,2062,2512,2041,2687,2189,0,0,0,0,0,4,41,61,55,1654,2019-06-22T15:51:19,"{""type"":""Point"",""coordinates"":[-72.17350955,42.53454769]}"
2_4,125,413,596,345,328,441,292,559,1591,1889,1732,1853,1981,0,0,0,0,0,4,34,45,30,1732,2019-06-22T15:51:19,"{""type"":""Point"",""coordinates"":[-72.17384774,42.53400681]}"
2_5,126,629,2180,1076,975,1037,724,1302,3552,4302,4357,4615,4295,0,0,0,0,0,4,99,106,74,1622,2019-06-22T15:51:19,"{""type"":""Point"",""coordinates"":[-72.17199578,42.53726421]}"
2_6,125,413,1969,807,373,625,343,968,3603,4564,4665,4823,4805,0,0,0,0,0,4,39,64,35,1658,2019-06-22T15:51:19,"{""type"":""Point"",""coordinates"":[-72.17274081,42.53651678]}"
2_7,125,389,1852,740,400,619,344,963,3609,4494,4679,4711,4631,0,0,0,0,0,4,41,64,36,1704,2019-06-22T15:51:19,"{""type"":""Point"",""coordinates"":[-72.17355408,42.53564725]}"
2_8,125,445,1810,1094,557,780,606,1140,3223,3908,3677,4078,3294,0,0,0,0,0,4,58,80,62,1762,2019-06-22T15:51:19,"{""type"":""Point"",""coordinates"":[-72.17428897,42.53489182]}"
2_9,125,349,468,193,302,385,245,469,1473,1772,1683,1813,1767,0,0,0,0,0,4,31,40,25,1146,2019-06-22T15:51:19,"{""type"":""Point"",""coordinates"":[-72.17484656,42.53435635]}"
2_10,126,629,2180,1076,975,1037,724,1302,3552,4302,4357,4615,4295,0,0,0,0,0,4,99,106,74,1622,2019-06-22T15:51:19,"{""type"":""Point"",""coordinates"":[-72.17215007,42.53732217]}"
2_11,125,413,1929,815,419,616,372,962,3510,4320,4488,4631,4805,0,0,0,0,0,4,44,63,39,1627,2019-06-22T15:51:19,"{""type"":""Point"",""coordinates"":[-72.17311207,42.53663424]}"
2_12,125,420,1942,818,395,633,360,991,3540,4425,4491,4700,4664,0,0,0,0,0,4,41,65,37,1657,2019-06-22T15:51:19,"{""type"":""Point"",""coordinates"":[-72.17376999,42.53619407]}"
2_13,125,373,1739,676,385,572,331,902,3309,4133,4356,4271,3680,0,0,0,0,0,4,40,59,34,1719,2019-06-22T15:51:19,"{""type"":""Point"",""coordinates"":[-72.17443905,42.53573871]}"
2_14,125,382,1777,727,356,592,327,1008,3772,4489,4299,4774,3309,0,0,0,0,0,4,36,61,34,2195,2019-06-22T15:51:19,"{""type"":""Point"",""coordinates"":[-72.17581962,42.53481354]}"
2_15,126,629,1781,757,448,642,386,955,3260,3947,3995,4260,4295,0,0,0,0,0,4,46,66,40,1597,2019-06-22T15:51:19,"{""type"":""Point"",""coordinates"":[-72.17252866,42.53727737]}"
2_16,125,434,1925,867,440,693,434,1044,3478,4257,4422,4553,4707,0,0,0,0,0,4,46,71,44,1598,2019-06-22T15:51:19,"{""type"":""Point"",""coordinates"":[-72.17333147,42.53687172]}"
2_17,125,420,1868,785,497,658,409,964,3286,4145,4286,4467,4664,0,0,0,0,0,4,52,68,42,1666,2019-06-22T15:51:19,"{""type"":""Point"",""coordinates"":[-72.1738539,42.53665254]}"
2_18,125,363,1075,460,356,497,298,689,2312,2906,2882,3099,3013,0,0,0,0,0,4,36,51,31,1298,2019-06-22T15:51:19,"{""type"":""Point"",""coordinates"":[-72.17524182,42.53602925]}"
2_19,125,363,927,446,314,435,278,646,2269,2851,2109,3159,3231,0,0,0,0,0,4,33,45,29,1584,2019-06-22T15:51:19,"{""type"":""Point"",""coordinates"":[-72.17602022,42.53570034]}"
2_20,126,1058,2402,1433,916,1040,830,1536,3438,4070,4148,4300,4605,0,0,0,0,0,4,94,106,85,1518,2019-06-22T15:51:19,"{""type"":""Point"",""coordinates"":[-72.1718475,42.53772139]}"
2_21,126,449,1861,844,426,613,405,932,2950,3685,3646,3923,4377,0,0,0,0,0,4,44,63,42,1563,2019-06-22T15:51:19,"{""type"":""Point"",""coordinates"":[-72.17353167,42.53785563]}"
2_22,125,484,1824,716,387,583,342,913,3452,4349,4544,4559,4502,0,0,0,0,0,4,39,60,35,1651,2019-06-22T15:51:19,"{""type"":""Point"",""coordinates"":[-72.17424659,42.53791698]}"
2_23,125,673,1998,961,586,799,581,1159,3234,3936,4037,4269,4315,0,0,0,0,0,4,61,82,60,1465,2019-06-22T15:51:19,"{""type"":""Point"",""coordinates"":[-72.1753998,42.53799538]}"
2_24,125,405,1667,708,390,615,365,929,3080,3627,3741,3907,3779,0,0,0,0,0,4,41,63,38,1530,2019-06-22T15:51:19,"{""type"":""Point"",""coordinates"":[-72.17725783,42.53817231]}"
2_25,126,720,2057,1005,670,812,613,1123,2949,3534,3725,3837,4046,0,0,0,0,0,4,69,83,63,1446,2019-06-22T15:51:19,"{""type"":""Point"",""coordinates"":[-72.17245577,42.53793523]}"
2_26,126,449,1862,789,472,699,435,1039,3340,4047,4317,4389,4377,0,0,0,0,0,4,49,71,45,1643,2019-06-22T15:51:19,"{""type"":""Point"",""coordinates"":[-72.17339952,42.53816458]}"
2_27,125,645,2004,972,613,806,571,1183,3397,4149,4094,4390,4256,0,0,0,0,0,4,63,82,58,1537,2019-06-22T15:51:19,"{""type"":""Point"",""coordinates"":[-72.17451928,42.53842324]}"
2_28,125,528,1724,722,394,599,347,906,3174,3862,3888,4138,4456,0,0,0,0,0,4,41,61,36,1547,2019-06-22T15:51:19,"{""type"":""Point"",""coordinates"":[-72.17598849,42.53879665]}"
2_29,125,397,1737,711,399,607,342,941,3234,3934,4003,4178,4392,0,0,0,0,0,4,41,62,35,1633,2019-06-22T15:51:19,"{""type"":""Point"",""coordinates"":[-72.17676584,42.53897192]}"
2_30,126,720,2331,1222,1037,1227,1047,1508,3231,3801,3937,3950,4046,0,0,0,0,0,4,106,125,107,1499,2019-06-22T15:51:19,"{""type"":""Point"",""coordinates"":[-72.17256484,42.53813773]}"
2_31,126,518,1861,857,578,815,555,1200,3322,3895,3964,4155,4052,0,0,0,0,0,4,59,83,57,1666,2019-06-22T15:51:19,"{""type"":""Point"",""coordinates"":[-72.17322802,42.53841011]}"
2_32,126,645,1819,830,424,681,393,1101,3074,3668,3698,3961,4256,0,0,0,0,0,4,44,70,40,1538,2019-06-22T15:51:19,"{""type"":""Point"",""coordinates"":[-72.1742803,42.53885443]}"
2_33,126,580,2145,1102,581,840,622,1268,3386,4040,4094,4222,4326,0,0,0,0,0,4,59,86,64,1527,2019-06-22T15:51:19,"{""type"":""Point"",""coordinates"":[-72.17495193,42.539127]}"
2_34,125,389,1932,778,383,609,343,936,3495,4391,4399,4689,4681,0,0,0,0,0,4,40,63,35,1675,2019-06-22T15:51:19,"{""type"":""Point"",""coordinates"":[-72.17636887,42.53972391]}"
2_35,126,720,2458,1330,1094,1265,1095,1649,3399,3933,4008,4179,4046,0,0,0,0,0,4,113,129,111,1503,2019-06-22T15:51:19,"{""type"":""Point"",""coordinates"":[-72.17198852,42.53799862]}"
2_36,126,518,1925,883,644,835,577,1159,3232,3883,3995,4169,4052,0,0,0,0,0,4,65,86,59,1632,2019-06-22T15:51:19,"{""type"":""Point"",""coordinates"":[-72.17284229,42.53853796]}"
2_37,126,516,1908,925,457,776,456,1250,3088,3521,3647,3813,3967,0,0,0,0,0,4,47,80,47,1549,2019-06-22T15:51:19,"{""type"":""Point"",""coordinates"":[-72.17410794,42.539306]}"
2_38,126,419,2007,905,412,758,397,1269,3750,4379,4505,4718,4397,0,0,0,0,0,4,43,78,41,1899,2019-06-22T15:51:19,"{""type"":""Point"",""coordinates"":[-72.17483018,42.53976714]}"
2_39,125,374,1843,763,376,638,342,1007,3463,4296,4040,4548,4331,0,0,0,0,0,4,39,65,35,1960,2019-06-22T15:51:19,"{""type"":""Point"",""coordinates"":[-72.17593787,42.54048131]}"
